storm,threshold_km,excess_log1p,density,mean_excess,n
Harvey (2017),10,-6.0,4.952843906340345e-17,3.3287329351356507,8719
Harvey (2017),10,-5.971943887775551,1.0023398884553923e-16,3.3287329351356507,8719
Harvey (2017),10,-5.943887775551103,2.0108478990966658e-16,3.3287329351356507,8719
Harvey (2017),10,-5.915831663326653,3.9989639415227253e-16,3.3287329351356507,8719
Harvey (2017),10,-5.887775551102204,7.883517847429068e-16,3.3287329351356507,8719
Harvey (2017),10,-5.859719438877756,1.5406258706033651e-15,3.3287329351356507,8719
Harvey (2017),10,-5.831663326653307,2.9845521273014034e-15,3.3287329351356507,8719
Harvey (2017),10,-5.803607214428857,5.731473828490736e-15,3.3287329351356507,8719
Harvey (2017),10,-5.775551102204409,1.0910859441014337e-14,3.3287329351356507,8719
Harvey (2017),10,-5.74749498997996,2.0590053730602064e-14,3.3287329351356507,8719
Harvey (2017),10,-5.719438877755511,3.8517870802293504e-14,3.3287329351356507,8719
Harvey (2017),10,-5.6913827655310625,7.142886917805888e-14,3.3287329351356507,8719
Harvey (2017),10,-5.663326653306613,1.3130838602685186e-13,3.3287329351356507,8719
Harvey (2017),10,-5.635270541082164,2.3928686254482567e-13,3.3287329351356507,8719
Harvey (2017),10,-5.6072144288577155,4.3226842564676823e-13,3.3287329351356507,8719
Harvey (2017),10,-5.579158316633267,7.740999742846909e-13,3.3287329351356507,8719
Harvey (2017),10,-5.551102204408817,1.3742006148469367e-12,3.3287329351356507,8719
Harvey (2017),10,-5.5230460921843685,2.418318492401213e-12,3.3287329351356507,8719
Harvey (2017),10,-5.49498997995992,4.218790100678938e-12,3.3287329351356507,8719
Harvey (2017),10,-5.466933867735471,7.295822558623712e-12,3.3287329351356507,8719
Harvey (2017),10,-5.438877755511022,1.250758512700581e-11,3.3287329351356507,8719
Harvey (2017),10,-5.410821643286573,2.125624518238802e-11,3.3287329351356507,8719
Harvey (2017),10,-5.382765531062124,3.5810849481323896e-11,3.3287329351356507,8719
Harvey (2017),10,-5.354709418837675,5.980794670835247e-11,3.3287329351356507,8719
Harvey (2017),10,-5.326653306613227,9.901948771625996e-11,3.3287329351356507,8719
Harvey (2017),10,-5.298597194388778,1.62517975303831e-10,3.3287329351356507,8719
Harvey (2017),10,-5.270541082164328,2.644250753395709e-10,3.3287329351356507,8719
Harvey (2017),10,-5.24248496993988,4.265069133396673e-10,3.3287329351356507,8719
Harvey (2017),10,-5.214428857715431,6.819830309058424e-10,3.3287329351356507,8719
Harvey (2017),10,-5.186372745490982,1.081053364863077e-09,3.3287329351356507,8719
Harvey (2017),10,-5.158316633266534,1.6988262503478643e-09,3.3287329351356507,8719
Harvey (2017),10,-5.130260521042084,2.6465582109507764e-09,3.3287329351356507,8719
Harvey (2017),10,-5.102204408817635,4.087400566697968e-09,3.3287329351356507,8719
Harvey (2017),10,-5.074148296593187,6.258194424984526e-09,3.3287329351356507,8719
Harvey (2017),10,-5.046092184368737,9.49926698881477e-09,3.3287329351356507,8719
Harvey (2017),10,-5.018036072144288,1.4294655652102513e-08,3.3287329351356507,8719
Harvey (2017),10,-4.98997995991984,2.1325711648331884e-08,3.3287329351356507,8719
Harvey (2017),10,-4.961923847695391,3.154159107753876e-08,3.3287329351356507,8719
Harvey (2017),10,-4.933867735470942,4.625069334789485e-08,3.3287329351356507,8719
Harvey (2017),10,-4.905811623246493,6.72376043637518e-08,3.3287329351356507,8719
Harvey (2017),10,-4.877755511022044,9.691047443038052e-08,3.3287329351356507,8719
Harvey (2017),10,-4.849699398797595,1.3848391943529863e-07,3.3287329351356507,8719
Harvey (2017),10,-4.8216432865731464,1.9620237033611076e-07,3.3287329351356507,8719
Harvey (2017),10,-4.793587174348698,2.7560818726267593e-07,3.3287329351356507,8719
Harvey (2017),10,-4.765531062124248,3.838576696477024e-07,3.3287329351356507,8719
Harvey (2017),10,-4.7374749498997994,5.300862048921626e-07,3.3287329351356507,8719
Harvey (2017),10,-4.709418837675351,7.258210956291335e-07,3.3287329351356507,8719
Harvey (2017),10,-4.681362725450902,9.854370174741634e-07,3.3287329351356507,8719
Harvey (2017),10,-4.653306613226453,1.3266445721985266e-06,3.3287329351356507,8719
Harvey (2017),10,-4.625250501002004,1.770997084515316e-06,3.3287329351356507,8719
Harvey (2017),10,-4.597194388777555,2.3443948164554824e-06,3.3287329351356507,8719
Harvey (2017),10,-4.569138276553106,3.0775594337481386e-06,3.3287329351356507,8719
Harvey (2017),10,-4.541082164328657,4.006445273367454e-06,3.3287329351356507,8719
Harvey (2017),10,-4.513026052104209,5.172548272875024e-06,3.3287329351356507,8719
Harvey (2017),10,-4.484969939879759,6.623068974771793e-06,3.3287329351356507,8719
Harvey (2017),10,-4.456913827655311,8.410883520248317e-06,3.3287329351356507,8719
Harvey (2017),10,-4.428857715430862,1.0594276709597517e-05,3.3287329351356507,8719
Harvey (2017),10,-4.400801603206412,1.3236394675990735e-05,3.3287329351356507,8719
Harvey (2017),10,-4.372745490981964,1.6404381986737537e-05,3.3287329351356507,8719
Harvey (2017),10,-4.344689378757515,2.016817930081477e-05,3.3287329351356507,8719
Harvey (2017),10,-4.316633266533066,2.4598972998924016e-05,3.3287329351356507,8719
Harvey (2017),10,-4.2885771543086175,2.9767307002160565e-05,3.3287329351356507,8719
Harvey (2017),10,-4.260521042084168,3.574088843038417e-05,3.3287329351356507,8719
Harvey (2017),10,-4.232464929859719,4.258214153957779e-05,3.3287329351356507,8719
Harvey (2017),10,-4.2044088176352705,5.0345586893644835e-05,3.3287329351356507,8719
Harvey (2017),10,-4.176352705410822,5.9075143115191016e-05,3.3287329351356507,8719
Harvey (2017),10,-4.148296593186373,6.880146489723141e-05,3.3287329351356507,8719
Harvey (2017),10,-4.1202404809619235,7.953944144393186e-05,3.3287329351356507,8719
Harvey (2017),10,-4.092184368737475,9.128598267892032e-05,3.3287329351356507,8719
Harvey (2017),10,-4.064128256513026,0.00010401821548510081,3.3287329351356507,8719
Harvey (2017),10,-4.036072144288577,0.00011769219868921456,3.3287329351356507,8719
Harvey (2017),10,-4.008016032064129,0.00013224224404431126,3.3287329351356507,8719
Harvey (2017),10,-3.979959919839679,0.00014758090247217397,3.3287329351356507,8719
Harvey (2017),10,-3.9519038076152304,0.0001635996424120913,3.3287329351356507,8719
Harvey (2017),10,-3.9238476953907817,0.00018017021293464055,3.3287329351356507,8719
Harvey (2017),10,-3.8957915831663326,0.0001971466512504227,3.3287329351356507,8719
Harvey (2017),10,-3.867735470941884,0.00021436786525808244,3.3287329351356507,8719
Harvey (2017),10,-3.8396793587174347,0.00023166069932387825,3.3287329351356507,8719
Harvey (2017),10,-3.811623246492986,0.00024884337734113984,3.3287329351356507,8719
Harvey (2017),10,-3.783567134268537,0.000265729212088264,3.3287329351356507,8719
Harvey (2017),10,-3.755511022044088,0.0002821304736833833,3.3287329351356507,8719
Harvey (2017),10,-3.7274549098196395,0.0002978623211022676,3.3287329351356507,8719
Harvey (2017),10,-3.6993987975951903,0.0003127467168931065,3.3287329351356507,8719
Harvey (2017),10,-3.6713426853707416,0.0003266162633140346,3.3287329351356507,8719
Harvey (2017),10,-3.6432865731462925,0.00033931791477801544,3.3287329351356507,8719
Harvey (2017),10,-3.6152304609218437,0.0003507165335356366,3.3287329351356507,8719
Harvey (2017),10,-3.5871743486973946,0.0003606982604300287,3.3287329351356507,8719
Harvey (2017),10,-3.559118236472946,0.00036917366885398135,3.3287329351356507,8719
Harvey (2017),10,-3.531062124248497,0.0003760806576232044,3.3287329351356507,8719
Harvey (2017),10,-3.503006012024048,0.00038138701874151963,3.3287329351356507,8719
Harvey (2017),10,-3.4749498997995993,0.00038509259179755694,3.3287329351356507,8719
Harvey (2017),10,-3.44689378757515,0.00038723089199777877,3.3287329351356507,8719
Harvey (2017),10,-3.4188376753507015,0.0003878700783465988,3.3287329351356507,8719
Harvey (2017),10,-3.3907815631262523,0.00038711311714058507,3.3287329351356507,8719
Harvey (2017),10,-3.3627254509018036,0.00038509699819083427,3.3287329351356507,8719
Harvey (2017),10,-3.3346693386773545,0.0003819908803628729,3.3287329351356507,8719
Harvey (2017),10,-3.306613226452906,0.00037799308080953297,3.3287329351356507,8719
Harvey (2017),10,-3.278557114228457,0.00037332687830054,3.3287329351356507,8719
Harvey (2017),10,-3.250501002004008,0.00036823517271781706,3.3287329351356507,8719
Harvey (2017),10,-3.2224448897795592,0.00036297412530668756,3.3287329351356507,8719
Harvey (2017),10,-3.19438877755511,0.0003578059910082209,3.3287329351356507,8719
Harvey (2017),10,-3.1663326653306614,0.0003529914371930684,3.3287329351356507,8719
Harvey (2017),10,-3.1382765531062122,0.000348781713843232,3.3287329351356507,8719
Harvey (2017),10,-3.1102204408817635,0.00034541109043599713,3.3287329351356507,8719
Harvey (2017),10,-3.0821643286573144,0.0003430899973924776,3.3287329351356507,8719
Harvey (2017),10,-3.0541082164328657,0.0003419992998782378,3.3287329351356507,8719
Harvey (2017),10,-3.026052104208417,0.0003422860865791274,3.3287329351356507,8719
Harvey (2017),10,-2.997995991983968,0.00034406127654520595,3.3287329351356507,8719
Harvey (2017),10,-2.969939879759519,0.0003473992373159748,3.3287329351356507,8719
Harvey (2017),10,-2.94188376753507,0.0003523394744643602,3.3287329351356507,8719
Harvey (2017),10,-2.9138276553106213,0.0003588903062355715,3.3287329351356507,8719
Harvey (2017),10,-2.885771543086172,0.0003670342888077425,3.3287329351356507,8719
Harvey (2017),10,-2.8577154308617234,0.00037673502044853865,3.3287329351356507,8719
Harvey (2017),10,-2.8296593186372747,0.0003879448388164279,3.3287329351356507,8719
Harvey (2017),10,-2.8016032064128256,0.00040061284575964933,3.3287329351356507,8719
Harvey (2017),10,-2.773547094188377,0.0004146926565834893,3.3287329351356507,8719
Harvey (2017),10,-2.7454909819639277,0.00043014928085581924,3.3287329351356507,8719
Harvey (2017),10,-2.717434869739479,0.0004469646003549267,3.3287329351356507,8719
Harvey (2017),10,-2.68937875751503,0.00046514101343526345,3.3287329351356507,8719
Harvey (2017),10,-2.661322645290581,0.0004847029565171045,3.3287329351356507,8719
Harvey (2017),10,-2.6332665330661325,0.0005056961817027287,3.3287329351356507,8719
Harvey (2017),10,-2.6052104208416833,0.0005281848511974035,3.3287329351356507,8719
Harvey (2017),10,-2.5771543086172346,0.0005522466893722381,3.3287329351356507,8719
Harvey (2017),10,-2.5490981963927855,0.0005779665969777693,3.3287329351356507,8719
Harvey (2017),10,-2.5210420841683367,0.0006054292655078431,3.3287329351356507,8719
Harvey (2017),10,-2.4929859719438876,0.0006347114218315615,3.3287329351356507,8719
Harvey (2017),10,-2.464929859719439,0.0006658743762481646,3.3287329351356507,8719
Harvey (2017),10,-2.4368737474949898,0.0006989575374861518,3.3287329351356507,8719
Harvey (2017),10,-2.408817635270541,0.000733973496630675,3.3287329351356507,8719
Harvey (2017),10,-2.3807615230460923,0.0007709051734733285,3.3287329351356507,8719
Harvey (2017),10,-2.352705410821643,0.0008097053719258779,3.3287329351356507,8719
Harvey (2017),10,-2.3246492985971945,0.0008502989173125472,3.3287329351356507,8719
Harvey (2017),10,-2.2965931863727453,0.0008925873607080903,3.3287329351356507,8719
Harvey (2017),10,-2.2685370741482966,0.0009364560478366679,3.3287329351356507,8719
Harvey (2017),10,-2.2404809619238475,0.0009817831758020708,3.3287329351356507,8719
Harvey (2017),10,-2.212424849699399,0.0010284503121646008,3.3287329351356507,8719
Harvey (2017),10,-2.1843687374749496,0.0010763537376349468,3.3287329351356507,8719
Harvey (2017),10,-2.156312625250501,0.0011254159033777383,3.3287329351356507,8719
Harvey (2017),10,-2.1282565130260522,0.0011755962712187726,3.3287329351356507,8719
Harvey (2017),10,-2.100200400801603,0.001226900831599651,3.3287329351356507,8719
Harvey (2017),10,-2.0721442885771544,0.0012793896686941692,3.3287329351356507,8719
Harvey (2017),10,-2.0440881763527052,0.0013331820607032326,3.3287329351356507,8719
Harvey (2017),10,-2.0160320641282565,0.0013884587594255812,3.3287329351356507,8719
Harvey (2017),10,-1.9879759519038078,0.0014454612778816568,3.3287329351356507,8719
Harvey (2017),10,-1.9599198396793582,0.001504488217146741,3.3287329351356507,8719
Harvey (2017),10,-1.9318637274549095,0.0015658888710937272,3.3287329351356507,8719
Harvey (2017),10,-1.9038076152304608,0.0016300545468133658,3.3287329351356507,8719
