storm,threshold_km,beta_pp,se_pp,lo_pp,hi_pp,p,n_zip
Harvey (2017),10,0.10570611767166571,0.06572987189412993,-0.02312443124082894,0.23453666658416036,0.10779358931882742,1364
Harvey (2017),50,0.21507114896885565,0.051825923239775674,0.11349233941889533,0.31664995851881594,3.326556032294567e-05,1364
Harvey (2017),100,0.13309351559571453,0.04686237316697372,0.04124326418844604,0.22494376700298302,0.004510033021054784,1364
Irma (2017),10,0.05658150474128606,0.09738083853916979,-0.13428493879548672,0.24744794827805885,0.5612180468222921,879
Irma (2017),50,0.03200691162719672,0.06333035614015046,-0.09212058640749818,0.15613440966189163,0.6132806949804745,879
Irma (2017),100,0.04287217795390663,0.0565948840311024,-0.06805379474705407,0.15379815065486735,0.44873392923641664,879
Florence (2018),10,0.4369055297461134,0.16354887345094005,0.11634973778227092,0.757461321709956,0.007553410401041864,1542
Florence (2018),50,0.6365208725950281,0.15327477803811126,0.33610230764033,0.9369394375497262,3.284188926342623e-05,1542
Florence (2018),100,0.6502250260072397,0.145699414663493,0.36465417326679345,0.9357958787476861,8.090157107552332e-06,1542
Michael (2018),10,0.08068233152046786,0.09475592546681576,-0.10503928239449103,0.2664039454354268,0.39450536986700957,1547
Michael (2018),50,0.24196788813752676,0.0798094827648715,0.08554130191837861,0.3983944743566749,0.0024308509931777627,1547
Michael (2018),100,0.2794934661447734,0.07501121136452812,0.13247149187029827,0.4265154404192485,0.00019452499800093958,1547
Imelda (2019),10,0.40866574528871835,0.08535409930104948,0.24137171065866136,0.5759597799187753,1.6854686630488384e-06,1382
Imelda (2019),50,0.4184865031319445,0.0708548159261097,0.2796110639167695,0.5573619423471196,3.4997535319220173e-09,1382
Imelda (2019),100,0.32205212729740573,0.06450958990441305,0.19561333108475615,0.4484909235100553,5.966016537639215e-07,1382
