storm,group,threshold_km,mean_share,sd_share,n_zip,se_share
Harvey (2017),High income / High EC resid,10,0.03287709559454221,0.025938881960682364,355,0.0013766929116087723
Harvey (2017),High income / High EC resid,50,0.01714378434573539,0.022445918979089933,355,0.0011913056854145542
Harvey (2017),High income / High EC resid,100,0.012039972726948941,0.01866467717526249,355,0.0009906182079705162
Harvey (2017),High income / Low EC resid,10,0.031695372948656673,0.021428294714002587,327,0.0011849874053836578
Harvey (2017),High income / Low EC resid,50,0.015065411474929905,0.01668013324606318,327,0.0009224134762244951
Harvey (2017),High income / Low EC resid,100,0.011290876597283804,0.015249216613146531,327,0.0008432836056122435
Harvey (2017),Low income / High EC resid,10,0.033293066132255474,0.032087105413570446,327,0.0017744209839270263
Harvey (2017),Low income / High EC resid,50,0.021298405497527036,0.028798927156975337,327,0.001592584310840044
Harvey (2017),Low income / High EC resid,100,0.01699171273256895,0.024307308870260756,327,0.0013441972520196498
Harvey (2017),Low income / Low EC resid,10,0.032102518668433166,0.02762409282572125,355,0.001466134617538186
Harvey (2017),Low income / Low EC resid,50,0.017002530078175433,0.024361185496123306,355,0.001292957477571139
Harvey (2017),Low income / Low EC resid,100,0.014306064636757477,0.022995396984718537,355,0.0012204689499137897
Irma (2017),High income / High EC resid,10,0.03400622100339058,0.0210860364749502,270,0.0012832553139674378
Irma (2017),High income / High EC resid,50,0.01625832436717153,0.0156609041530417,270,0.0009530922750608087
Irma (2017),High income / High EC resid,100,0.013208300090064861,0.014058726238084816,270,0.0008555868322654221
Irma (2017),High income / Low EC resid,10,0.03397102825384715,0.030167557297983958,170,0.002313746024660067
Irma (2017),High income / Low EC resid,50,0.013910495018356214,0.014784397814207607,170,0.0011339115504688825
Irma (2017),High income / Low EC resid,100,0.010929699923552718,0.013872951343723754,170,0.00106400679726192
Irma (2017),Low income / High EC resid,10,0.03352732712015755,0.02323741182494752,170,0.0017822281301162627
Irma (2017),Low income / High EC resid,50,0.014457726104290936,0.016875186062603315,170,0.0012942676890301851
Irma (2017),Low income / High EC resid,100,0.011577079725336751,0.014970659679487184,170,0.0011481971834115666
Irma (2017),Low income / Low EC resid,10,0.03353635888845656,0.031099146276897548,269,0.001896148413826308
Irma (2017),Low income / Low EC resid,50,0.014988817888940773,0.02109961813588725,269,0.0012864664227269782
Irma (2017),Low income / Low EC resid,100,0.0105474293363988,0.015440314021193611,269,0.0009414125609620129
Florence (2018),High income / High EC resid,10,0.05919751210055644,0.059073463277821994,490,0.002668667046174766
Florence (2018),High income / High EC resid,50,0.03500861563870008,0.05641719754531585,490,0.0025486691920979807
Florence (2018),High income / High EC resid,100,0.029305662120007302,0.05334435601874775,490,0.0024098523619164947
Florence (2018),High income / Low EC resid,10,0.052622865412928294,0.04250044303664911,281,0.0025353638710062425
Florence (2018),High income / Low EC resid,50,0.02285021458985242,0.034269385342398824,281,0.002044340135555425
Florence (2018),High income / Low EC resid,100,0.016650353221300904,0.029960884033178845,281,0.0017873164958686636
Florence (2018),Low income / High EC resid,10,0.05586140682967928,0.057102494437796816,281,0.003406449227295857
Florence (2018),Low income / High EC resid,50,0.03132021432398239,0.05384939379810912,281,0.0032123855131011786
Florence (2018),Low income / High EC resid,100,0.024397923115935468,0.043687340516151724,281,0.0026061682385165852
Florence (2018),Low income / Low EC resid,10,0.05408528362953351,0.048305164397678395,490,0.0021822048892219904
Florence (2018),Low income / Low EC resid,50,0.027323597138260488,0.04257347008436464,490,0.0019232733337661875
Florence (2018),Low income / Low EC resid,100,0.020946762730901083,0.03889360463099611,490,0.0017570339578288632
Michael (2018),High income / High EC resid,10,0.041446123619527014,0.022973551625170167,493,0.0010346767280609878
Michael (2018),High income / High EC resid,50,0.021628545724870628,0.01805316783145443,493,0.0008130737870987239
Michael (2018),High income / High EC resid,100,0.018062542247933678,0.01692625014919036,493,0.0007623199672582783
Michael (2018),High income / Low EC resid,10,0.04345096908019767,0.029856632669406594,281,0.0017810973809059473
Michael (2018),High income / Low EC resid,50,0.020567173384851638,0.020164786108268676,281,0.0012029302876063349
Michael (2018),High income / Low EC resid,100,0.015993812958199016,0.017885522516310096,281,0.001066960821157043
Michael (2018),Low income / High EC resid,10,0.0453521380835711,0.042777702534926076,281,0.00255190378599533
Michael (2018),Low income / High EC resid,50,0.02508716464275264,0.038347498802373085,281,0.0022876199884117117
Michael (2018),Low income / High EC resid,100,0.020559343723206242,0.036402030400044444,281,0.0021715630735415566
Michael (2018),Low income / Low EC resid,10,0.04409087777191299,0.03250416467609138,492,0.0014654009144330685
Michael (2018),Low income / Low EC resid,50,0.020990652609067507,0.02480141986744424,492,0.001118134359555602
Michael (2018),Low income / Low EC resid,100,0.015954620819247478,0.02308791365524956,492,0.0010408835335381046
Imelda (2019),High income / High EC resid,10,0.04996133102865825,0.03904730456796876,359,0.002060837914088357
Imelda (2019),High income / High EC resid,50,0.027075486326521094,0.029880339317903726,359,0.001577023992654158
Imelda (2019),High income / High EC resid,100,0.01998393673823209,0.02290125883842923,359,0.0012086822129408039
Imelda (2019),High income / Low EC resid,10,0.04226105476562477,0.027937587908877872,332,0.00153327433135745
Imelda (2019),High income / Low EC resid,50,0.021105645761569695,0.02114597301370517,332,0.001160536039805655
Imelda (2019),High income / Low EC resid,100,0.016143154182525526,0.018901008434784795,332,0.0010373276019515242
Imelda (2019),Low income / High EC resid,10,0.05067932344523862,0.039661152782214146,332,0.002176688542738892
Imelda (2019),Low income / High EC resid,50,0.031063467853957704,0.03428945100318687,332,0.0018818781074087761
Imelda (2019),Low income / High EC resid,100,0.024539138318333216,0.030749877855482454,332,0.0016876187937901988
Imelda (2019),Low income / Low EC resid,10,0.04435157551177831,0.028595785321791262,359,0.0015092278257439874
Imelda (2019),Low income / Low EC resid,50,0.023127946231958713,0.024705287441691485,359,0.0013038952010033017
Imelda (2019),Low income / Low EC resid,100,0.017787474004042923,0.02180751404643503,359,0.0011509565706559494
