disaster,quantity,x,y
Harvey,departure_time,0.0,0.013397448910320863
Harvey,departure_time,1.0,0.010650800060885228
Harvey,departure_time,2.0,0.01083099873985654
Harvey,departure_time,3.0,0.01017046333284607
Harvey,departure_time,4.0,0.012313995602339428
Harvey,departure_time,5.0,0.02049455635962266
Harvey,departure_time,6.0,0.037318216934143854
Harvey,departure_time,7.0,0.05895878431574868
Harvey,departure_time,8.0,0.057669007330369754
Harvey,departure_time,9.0,0.054944810780783025
Harvey,departure_time,10.0,0.05761231540231714
Harvey,departure_time,11.0,0.06374974475157899
Harvey,departure_time,12.0,0.06893645730272725
Harvey,departure_time,13.0,0.06749931599731909
Harvey,departure_time,14.0,0.06704926844914048
Harvey,departure_time,15.0,0.0695695946055073
Harvey,departure_time,16.0,0.06133825623488906
Harvey,departure_time,17.0,0.05700203411744722
Harvey,departure_time,18.0,0.0444031292069216
Harvey,departure_time,19.0,0.0457287844408703
Harvey,departure_time,20.0,0.037994980568182395
Harvey,departure_time,21.0,0.030815457845408994
Harvey,departure_time,22.0,0.023835130233550817
Harvey,departure_time,23.0,0.017716448477223277
Harvey,stay_duration,0.25,0.9158218011145128
Harvey,stay_duration,0.75,0.03532599331140461
Harvey,stay_duration,1.25,0.016518496548625087
Harvey,stay_duration,1.75,0.008729858762977818
Harvey,stay_duration,2.25,0.005605262032495723
Harvey,stay_duration,2.75,0.0037870766949072722
Harvey,stay_duration,3.25,0.002751304271665312
Harvey,stay_duration,3.75,0.002073317544158717
Harvey,stay_duration,4.25,0.0016393125277502495
Harvey,stay_duration,4.75,0.0012566609732969733
Harvey,stay_duration,5.25,0.0009955039991959354
Harvey,stay_duration,5.75,0.0007799081606613029
Harvey,stay_duration,6.25,0.0006330668088835974
Harvey,stay_duration,6.75,0.0005220414310011275
Harvey,stay_duration,7.25,0.0004595668626837028
Harvey,stay_duration,7.75,0.0004160375833067216
Harvey,stay_duration,8.25,0.0003851122244736047
Harvey,stay_duration,8.75,0.0003378518640071679
Harvey,stay_duration,9.25,0.00028678160620198174
Harvey,stay_duration,9.75,0.00023806648479518798
Harvey,stay_duration,10.25,0.00020892183884866047
Harvey,stay_duration,10.75,0.00019120822078701335
Harvey,stay_duration,11.25,0.00016608453942310708
Harvey,stay_duration,11.75,0.0001488905742593469
Harvey,stay_duration,12.25,0.00012667641477615463
Harvey,stay_duration,12.75,0.00010699506221942409
Harvey,stay_duration,13.25,8.778927889572118e-05
Harvey,stay_duration,13.75,7.052184095719551e-05
Harvey,stay_duration,14.25,5.730742844846148e-05
Harvey,stay_duration,14.75,4.733516910983436e-05
Harvey,stay_duration,15.25,3.9735412461816985e-05
Harvey,stay_duration,15.75,3.2527065323004935e-05
Harvey,stay_duration,16.25,2.750553513494072e-05
Harvey,stay_duration,16.75,2.3014344793820238e-05
Harvey,stay_duration,17.25,1.8949296546339684e-05
Harvey,stay_duration,17.75,1.616133871114681e-05
Harvey,stay_duration,18.25,1.3942460913228572e-05
Harvey,stay_duration,18.75,1.1396295300445813e-05
Harvey,stay_duration,19.25,9.813290971407214e-06
Harvey,stay_duration,19.75,8.220935561943914e-06
Harvey,stay_duration,20.25,6.173048948934486e-06
Harvey,stay_duration,20.75,4.185276424369562e-06
Harvey,stay_duration,21.25,3.2568477250600035e-06
Harvey,stay_duration,21.75,2.8253621568916767e-06
Harvey,stay_duration,22.25,2.4259374358937518e-06
Harvey,stay_duration,22.75,2.3163962080615448e-06
Harvey,stay_duration,23.25,2.0906344092366307e-06
Harvey,stay_duration,23.75,7.093462436451443e-07
Harvey,location_rank,1.0,0.1275541959234887
Harvey,location_rank,2.0,0.05431191909476635
Harvey,location_rank,3.0,0.0187819901107862
Harvey,location_rank,4.0,0.010968086926359744
Harvey,location_rank,5.0,0.007995516705184292
Harvey,location_rank,6.0,0.006024504475651219
Harvey,location_rank,7.0,0.004842624011234218
Harvey,location_rank,8.0,0.003979045764240799
Harvey,location_rank,9.0,0.0033143616496833267
Harvey,location_rank,10.0,0.002799488496749204
Harvey,location_rank,11.0,0.0024349673975164283
Harvey,location_rank,12.0,0.0021336586271480315
Harvey,location_rank,13.0,0.0018769899561584676
Harvey,location_rank,14.0,0.0016743605454802002
Harvey,location_rank,15.0,0.0015093298358748865
Harvey,location_rank,16.0,0.0013550890741041292
Harvey,location_rank,17.0,0.0012374575958946068
Harvey,location_rank,18.0,0.0011243512537326078
Harvey,location_rank,19.0,0.001038952042717958
Harvey,location_rank,20.0,0.0009585314715498249
Harvey,location_rank,21.0,0.0008895828404991405
Harvey,location_rank,22.0,0.0008346994332590631
Harvey,location_rank,23.0,0.0007796143621294667
Harvey,location_rank,24.0,0.0007261992560418026
Harvey,location_rank,25.0,0.0006847228723695167
Harvey,location_rank,26.0,0.0006458007385162159
Harvey,location_rank,27.0,0.000609880229754849
Harvey,location_rank,28.0,0.0005807652394108503
Harvey,location_rank,29.0,0.0005514623246028601
Harvey,location_rank,30.0,0.0005253119399073979
Harvey,location_rank,31.0,0.0004954722614464585
Harvey,location_rank,32.0,0.00047631644477741386
Harvey,location_rank,33.0,0.00045760888223882754
Harvey,location_rank,34.0,0.0004414549306234924
Harvey,location_rank,35.0,0.0004169951440301223
Harvey,location_rank,36.0,0.0004006303068220065
Harvey,location_rank,37.0,0.0003914995479156389
Harvey,location_rank,38.0,0.0003712939470703512
Harvey,location_rank,39.0,0.00036112861786767245
Harvey,location_rank,40.0,0.00034503147349161363
Harvey,location_rank,41.0,0.00033786585190482085
Harvey,location_rank,42.0,0.0003240331563534078
Harvey,location_rank,43.0,0.0003040605785212102
Harvey,location_rank,44.0,0.0003091167464670148
Harvey,location_rank,45.0,0.00029118498135654214
Harvey,location_rank,46.0,0.000282405362026779
Harvey,location_rank,47.0,0.0002759620835791958
Harvey,location_rank,48.0,0.0002573445081058552
Harvey,location_rank,49.0,0.0002581931108044344
Harvey,location_rank,50.0,0.0002494761627716664
Harvey,location_rank,51.0,0.00024758746139489886
Harvey,location_rank,52.0,0.0002390842258094971
Harvey,location_rank,53.0,0.00023537577601444543
Harvey,location_rank,54.0,0.00022436599788333255
Harvey,location_rank,55.0,0.00021647019259229787
Harvey,location_rank,56.0,0.000216636906927407
Harvey,location_rank,57.0,0.00021182363178319153
Harvey,location_rank,58.0,0.00021216154062419715
Harvey,location_rank,59.0,0.00019999971487620662
Harvey,location_rank,60.0,0.00019430147651155682
Harvey,location_rank,61.0,0.0001985011770254003
