disaster,population,mobile_count
Harvey,4708,0
Harvey,2849,0
Harvey,1999,0
Harvey,1773,0
Harvey,5286,0
Harvey,2593,0
Harvey,2280,4
Harvey,7409,104
Harvey,2667,80
Harvey,8442,117
Harvey,1448,28
Harvey,18134,0
Harvey,3258,0
Harvey,3549,0
Harvey,2431,0
Harvey,3978,0
Harvey,1532,207
Harvey,1666,54
Harvey,6387,63
Harvey,5257,108
Harvey,1669,150
Harvey,2948,100
Harvey,8130,124
Harvey,5203,130
Harvey,13015,256
Harvey,5826,167
Harvey,5071,106
Harvey,3579,59
Harvey,5882,117
Harvey,4104,240
Harvey,3448,562
Harvey,8977,296
Harvey,6070,110
Harvey,1510,92
Harvey,5569,216
Harvey,4380,149
Harvey,7375,52
Harvey,4997,87
Harvey,3371,81
Harvey,4221,54
Harvey,2954,127
Harvey,12600,250
Harvey,3955,84
Harvey,5122,109
Harvey,11484,202
Harvey,2459,42
Harvey,4341,0
Harvey,3010,139
Harvey,1481,42
Harvey,5451,208
Harvey,4343,172
Harvey,1657,180
Harvey,6875,79
Harvey,3342,79
Harvey,4041,65
Harvey,3048,101
Harvey,4387,70
Harvey,3037,80
Harvey,3423,92
Harvey,6061,85
Harvey,3834,105
Harvey,7729,115
Harvey,3868,109
Harvey,6885,145
Harvey,5148,110
Harvey,5505,156
Harvey,2783,108
Harvey,4844,105
Harvey,4465,111
Harvey,7276,103
Harvey,7316,181
Harvey,4596,43
Harvey,4725,95
Harvey,2410,74
Harvey,8836,212
Harvey,8069,129
Harvey,2313,81
Harvey,0,129
Harvey,5046,159
Harvey,5994,419
Harvey,8792,240
Harvey,6913,169
Harvey,6095,109
Harvey,2452,183
Harvey,3431,133
Harvey,6774,189
Harvey,7753,200
Harvey,13715,532
Harvey,13096,376
Harvey,6686,584
Harvey,7059,301
Harvey,11257,212
Harvey,9133,113
Harvey,4724,3
Harvey,7023,215
Harvey,4090,101
Harvey,80,31
Harvey,0,51
Harvey,0,13
Harvey,4679,81
Harvey,6176,124
Harvey,5183,152
Harvey,2908,124
Harvey,6771,286
Harvey,10880,187
Harvey,3782,211
Harvey,3293,231
Harvey,4175,91
Harvey,4988,59
Harvey,3728,59
Harvey,2504,204
Harvey,2789,55
Harvey,3627,475
Harvey,1261,33
Harvey,2084,48
Harvey,7024,76
Harvey,6041,60
Harvey,1860,60
Harvey,3722,67
Harvey,2496,90
Harvey,5391,76
Harvey,5854,81
Harvey,1160,43
Harvey,2879,61
Harvey,2747,97
Harvey,2817,56
Harvey,5825,222
Harvey,3407,51
Harvey,2395,21
Harvey,6134,88
Harvey,3845,58
Harvey,4311,86
Harvey,7879,107
Harvey,5623,131
Harvey,6787,126
Harvey,4591,158
Harvey,2368,135
Harvey,6409,123
Harvey,5323,70
Harvey,2727,96
Harvey,6957,186
Harvey,6899,190
Harvey,5653,152
Harvey,4891,194
Harvey,7043,126
Harvey,2590,27
Harvey,9469,238
Harvey,0,46
Harvey,2906,39
Harvey,7888,112
Harvey,4309,56
Harvey,5979,131
Harvey,14051,254
Harvey,5448,160
Harvey,11399,315
Harvey,6668,102
Harvey,14085,280
Harvey,6859,165
Harvey,16658,405
Harvey,5019,234
Harvey,12773,266
Harvey,4328,103
Harvey,0,0
Harvey,4888,300
Harvey,4225,52
Harvey,8159,42
Harvey,5325,81
Harvey,2358,203
Harvey,9417,85
Harvey,6089,223
Harvey,5157,24
Harvey,4614,11
Harvey,4857,0
Harvey,3051,2
Harvey,5597,0
Harvey,4577,0
Harvey,21039,0
Harvey,9406,0
Harvey,0,43
Harvey,0,0
Harvey,0,153
Harvey,3720,35
Harvey,4259,62
Harvey,7513,128
Harvey,4124,121
Harvey,6205,55
Harvey,5764,644
Harvey,4276,232
Harvey,3880,503
Harvey,13746,467
Harvey,12804,289
Harvey,6010,153
Harvey,6527,409
Harvey,4403,195
Harvey,1896,53
Harvey,7227,521
Harvey,12841,619
Harvey,12185,647
Harvey,11845,217
Harvey,4131,236
Harvey,6727,268
Harvey,3506,36
Harvey,5992,165
Harvey,805,37
Harvey,896,28
Harvey,8067,27
Harvey,4296,93
Harvey,3268,128
Harvey,2717,98
Harvey,3170,85
Harvey,4109,310
Harvey,2024,89
Harvey,4020,90
Harvey,2096,97
Harvey,690,45
Harvey,3204,50
Harvey,3812,75
Harvey,6693,127
Harvey,7230,105
Harvey,5561,378
Harvey,6842,91
Harvey,5025,56
Harvey,4542,91
Harvey,5083,63
Harvey,2748,78
Harvey,5010,208
Harvey,3692,169
Harvey,3861,96
Harvey,7033,284
Harvey,3624,70
Harvey,3070,100
Harvey,5733,79
Harvey,7098,39
Harvey,2810,56
Harvey,3187,72
Harvey,2124,25
Harvey,2328,60
Harvey,2920,66
Harvey,3903,16
Harvey,4826,128
Harvey,6300,171
Harvey,4123,182
Harvey,6633,104
Harvey,3320,51
Harvey,9711,172
Harvey,2027,30
Harvey,13016,210
Harvey,6290,192
Harvey,9045,235
Harvey,5395,193
Harvey,8197,136
Harvey,1608,121
Harvey,4027,57
Harvey,3565,43
Harvey,2508,105
Harvey,8278,208
Harvey,8650,279
Harvey,2216,60
Harvey,1871,42
Harvey,5953,145
Harvey,5179,86
Harvey,2912,114
Harvey,2385,64
Harvey,8861,120
Harvey,9123,77
Harvey,2838,110
Harvey,5442,63
Harvey,7811,156
Harvey,3778,6
Harvey,1526,100
Harvey,1458,64
Harvey,1036,38
Harvey,1885,46
Harvey,5718,87
Harvey,3316,72
Harvey,2762,64
Harvey,2611,97
Harvey,2341,104
Harvey,3716,52
Harvey,4143,231
Harvey,3031,161
Harvey,12148,336
Harvey,4133,122
Harvey,4210,205
Harvey,3690,274
Harvey,3898,170
Harvey,2336,182
Harvey,15808,394
Harvey,7720,427
Harvey,7193,406
Harvey,4205,141
Harvey,2922,21
Harvey,3009,205
Harvey,3507,99
Harvey,6023,158
Harvey,8252,363
