disaster,threshold_minutes,n_users_with_pre_home,n_users_with_disaster_week_location,n_evacuated,evacuation_rate
Harvey (2017),240,393717,171059,20081,0.05100363967011839
Harvey (2017),480,308246,115871,10984,0.03563387683862889
Harvey (2017),720,245452,81452,6111,0.024896924856998518
Harvey (2017),960,200603,59790,3746,0.018673698798123656
Harvey (2017),1200,168176,44305,2279,0.01355127961183522
Harvey (2017),1440,141228,32800,1359,0.00962273770073923
Harvey (2017),1680,118155,24351,786,0.006652278786339977
Harvey (2017),1920,98565,17913,410,0.004159691574088165
Irma (2017),240,205795,149639,12353,0.06002575378410554
Irma (2017),480,156912,94686,6371,0.04060237585398185
Irma (2017),720,122243,62044,3312,0.02709357591027707
Irma (2017),960,98569,42413,1831,0.01857581998397062
Irma (2017),1200,81272,29504,1053,0.012956491780687076
Irma (2017),1440,67232,20645,600,0.008924321751546883
Irma (2017),1680,55672,14607,352,0.006322747521195574
Irma (2017),1920,46127,10298,184,0.003988986927396102
Florence (2018),240,330715,280360,23267,0.07035362774594439
Florence (2018),480,271336,224442,16701,0.06155099212784149
Florence (2018),720,228535,182514,12029,0.05263526374515939
Florence (2018),960,196465,152547,8628,0.04391621917389866
Florence (2018),1200,171693,127110,6084,0.03543534098652828
Florence (2018),1440,148964,104145,4037,0.027100507505169034
Florence (2018),1680,127376,82896,2469,0.019383557342042456
Florence (2018),1920,107518,64241,1368,0.012723450957049052
Michael (2018),240,512467,349413,29094,0.056772436078810926
Michael (2018),480,411034,283421,20035,0.04874292637592024
Michael (2018),720,334276,233132,14120,0.042240543742296785
Michael (2018),960,284838,199666,10800,0.03791628925915784
Michael (2018),1200,249698,174450,8473,0.03393299105319226
Michael (2018),1440,220920,152430,6433,0.0291191381495564
Michael (2018),1680,195262,132265,4660,0.023865370630230153
Michael (2018),1920,172499,113358,3324,0.019269676925663337
Imelda (2019),240,285114,214977,16457,0.05772077134058657
Imelda (2019),480,245764,187517,12088,0.04918539737308963
Imelda (2019),720,214095,164079,8875,0.04145356033536514
Imelda (2019),960,192007,146899,6828,0.03556120349778914
Imelda (2019),1200,175018,131898,5322,0.03040830086048292
Imelda (2019),1440,160010,116677,3919,0.02449221923629773
Imelda (2019),1680,146408,102098,2838,0.01938418665646686
Imelda (2019),1920,133905,87560,1915,0.014301183674993466
