disaster,damage_grp,rel_day,p,n,lo,hi
Harvey (2017),Damaged,-10,0.15309982914327558,16388,0.14758672042320833,0.15861293786334282
Harvey (2017),Damaged,-9,0.19879258300991806,16233,0.1926531361324463,0.20493202988738982
Harvey (2017),Damaged,-8,0.23692307692307693,16250,0.23038549369602623,0.24346066015012763
Harvey (2017),Damaged,-7,0.29340470038144456,16254,0.286404751810884,0.30040464895200514
Harvey (2017),Damaged,-6,0.3387965347693749,12813,0.3306011811306555,0.34699188840809425
Harvey (2017),Damaged,-5,0.363363125840386,12643,0.3549792020183264,0.3717470496624456
Harvey (2017),Damaged,-4,0.37405911510923445,10894,0.36497256205420764,0.38314566816426127
Harvey (2017),Damaged,-3,0.385659509202454,13040,0.37730494370838885,0.39401407469651917
Harvey (2017),Damaged,-2,0.3939393939393939,13827,0.3857948865054492,0.40208390137333866
Harvey (2017),Damaged,-1,0.40775549986076304,14364,0.3997189655150082,0.4157920342065179
Harvey (2017),Damaged,0,0.43029049544044373,10637,0.4208812650894881,0.4396997257913994
Harvey (2017),Damaged,1,0.4455472345032933,11083,0.4362937232401294,0.45480074576645724
Harvey (2017),Damaged,2,0.4478917230609058,9605,0.43794669451277723,0.45783675160903436
Harvey (2017),Damaged,3,0.48071359691417553,10370,0.47109717804565565,0.4903300157826954
Harvey (2017),Damaged,4,0.49439677814743477,11422,0.48522765668625345,0.5035658996086161
Harvey (2017),Damaged,5,0.5085158150851582,11919,0.4995406350825873,0.5174909950877291
Harvey (2017),Damaged,6,0.5077201827635103,12694,0.499023070950085,0.5164172945769355
Harvey (2017),Damaged,7,0.526791478373144,12392,0.5180006253722418,0.5355823313740462
Harvey (2017),Damaged,8,0.5464227198252322,10986,0.537113221147336,0.5557322185031284
Harvey (2017),Damaged,9,0.5462184873949579,10710,0.5367894375235387,0.5556475372663772
Harvey (2017),Damaged,10,0.5480433114502515,11729,0.5390362852077486,0.5570503376927545
Harvey (2017),Damaged,11,0.5519202363367799,13540,0.5435437369037851,0.5602967357697747
Harvey (2017),Damaged,12,0.5669179667089647,13397,0.5585272803689463,0.575308653048983
Harvey (2017),Damaged,13,0.5247495139823538,20061,0.5178388927566946,0.531660135208013
Harvey (2017),Damaged,14,0.5843635148680254,11972,0.5755353365790273,0.5931916931570235
Harvey (2017),Damaged,15,0.6223244295064567,5653,0.6096862520128353,0.6349626070000781
Harvey (2017),Undamaged,-10,0.1704225352112676,3550,0.15805355545700633,0.18279151496552887
Harvey (2017),Undamaged,-9,0.2160860945907675,3531,0.20251062669965464,0.22966156248188035
Harvey (2017),Undamaged,-8,0.2446228850014339,3487,0.23035496875988554,0.25889080124298225
Harvey (2017),Undamaged,-7,0.3158345221112696,3505,0.3004450955424702,0.33122394868006905
Harvey (2017),Undamaged,-6,0.34867951463240543,2802,0.3310340706118927,0.36632495865291814
Harvey (2017),Undamaged,-5,0.36816096011295446,2833,0.3504004727393212,0.38592144748658774
Harvey (2017),Undamaged,-4,0.3827809215844786,2474,0.3636272941089395,0.40193454906001763
Harvey (2017),Undamaged,-3,0.3863481228668942,2930,0.3687172953006405,0.40397895043314785
Harvey (2017),Undamaged,-2,0.40058862001308043,3058,0.383220647362026,0.4179565926641349
