event,zip,n_total,n_damaged,pct_damaged
Harvey,70601,107,2,1.8691588785046727
Harvey,70605,2,0,0.0
Harvey,70611,1,0,0.0
Harvey,70615,16,2,12.5
Harvey,70663,1,0,0.0
Harvey,70668,7,0,0.0
Harvey,70669,13,1,7.6923076923076925
Harvey,75933,1,0,0.0
Harvey,77002,2,1,50.0
Harvey,77004,9,3,33.33333333333333
Harvey,77005,4,0,0.0
Harvey,77007,39,4,10.256410256410255
Harvey,77008,176,35,19.886363636363637
Harvey,77009,157,26,16.560509554140125
Harvey,77011,10,0,0.0
Harvey,77012,5,2,40.0
Harvey,77013,383,28,7.310704960835509
Harvey,77015,401,33,8.229426433915211
Harvey,77016,379,22,5.804749340369393
Harvey,77017,7,2,28.57142857142857
Harvey,77018,12,0,0.0
Harvey,77019,5,2,40.0
Harvey,77021,4,0,0.0
Harvey,77022,8,2,25.0
Harvey,77023,11,0,0.0
Harvey,77024,59,17,28.8135593220339
Harvey,77025,596,204,34.22818791946309
Harvey,77026,268,23,8.582089552238806
Harvey,77027,6,0,0.0
Harvey,77028,1586,186,11.727616645649434
Harvey,77029,96,3,3.125
Harvey,77030,1,0,0.0
Harvey,77031,6,0,0.0
Harvey,77032,181,24,13.259668508287293
Harvey,77034,292,13,4.4520547945205475
Harvey,77035,9,0,0.0
Harvey,77037,396,23,5.808080808080808
Harvey,77038,132,10,7.575757575757576
Harvey,77039,270,37,13.703703703703704
Harvey,77040,350,7,2.0
Harvey,77041,14,1,7.142857142857142
Harvey,77042,195,42,21.53846153846154
Harvey,77044,44,17,38.63636363636363
Harvey,77049,55,9,16.363636363636363
Harvey,77055,1,1,100.0
Harvey,77056,20,2,10.0
Harvey,77057,4,2,50.0
Harvey,77058,101,15,14.85148514851485
Harvey,77059,266,14,5.263157894736842
Harvey,77060,48,8,16.666666666666664
Harvey,77062,156,9,5.769230769230769
Harvey,77063,123,3,2.4390243902439024
Harvey,77067,1,0,0.0
Harvey,77068,37,0,0.0
Harvey,77069,56,0,0.0
Harvey,77070,349,50,14.326647564469914
Harvey,77072,366,12,3.278688524590164
Harvey,77073,69,1,1.4492753623188406
Harvey,77074,62,7,11.29032258064516
Harvey,77075,52,5,9.615384615384617
Harvey,77077,340,37,10.882352941176471
Harvey,77078,1093,71,6.495882891125343
Harvey,77079,1423,223,15.67111735769501
Harvey,77081,131,16,12.213740458015266
Harvey,77084,1285,79,6.147859922178988
Harvey,77087,1,0,0.0
Harvey,77088,317,31,9.779179810725552
Harvey,77089,2226,106,4.761904761904762
Harvey,77090,160,14,8.75
Harvey,77091,17,1,5.88235294117647
Harvey,77092,7,1,14.285714285714285
Harvey,77093,2220,261,11.756756756756758
Harvey,77094,45,3,6.666666666666667
Harvey,77096,856,242,28.27102803738318
Harvey,77099,133,6,4.511278195488721
Harvey,77304,1,0,0.0
Harvey,77306,1,0,0.0
Harvey,77318,1,0,0.0
Harvey,77327,3,0,0.0
Harvey,77336,15,6,40.0
Harvey,77338,215,15,6.976744186046512
Harvey,77339,248,23,9.274193548387096
Harvey,77345,345,29,8.405797101449275
Harvey,77346,16,3,18.75
Harvey,77356,151,18,11.920529801324504
Harvey,77357,15,0,0.0
Harvey,77362,12,2,16.666666666666664
Harvey,77365,3,1,33.33333333333333
Harvey,77369,1,0,0.0
Harvey,77372,4,0,0.0
Harvey,77373,164,6,3.6585365853658534
Harvey,77375,3,2,66.66666666666666
Harvey,77377,42,6,14.285714285714285
Harvey,77379,358,20,5.58659217877095
Harvey,77380,2,0,0.0
Harvey,77381,1,0,0.0
Harvey,77384,1,0,0.0
Harvey,77385,77,16,20.77922077922078
Harvey,77386,178,41,23.03370786516854
Harvey,77388,149,10,6.7114093959731544
Harvey,77389,56,15,26.785714285714285
Harvey,77396,171,10,5.847953216374268
Harvey,77401,1221,278,22.768222768222767
Harvey,77406,244,28,11.475409836065573
Harvey,77407,3,0,0.0
Harvey,77414,19,9,47.368421052631575
Harvey,77417,31,3,9.67741935483871
Harvey,77423,2,0,0.0
Harvey,77429,602,60,9.966777408637874
Harvey,77433,292,10,3.4246575342465753
Harvey,77441,10,0,0.0
Harvey,77447,4,0,0.0
Harvey,77448,5,0,0.0
Harvey,77449,116,10,8.620689655172415
Harvey,77450,825,27,3.272727272727273
Harvey,77451,4,0,0.0
Harvey,77461,4,0,0.0
Harvey,77469,386,27,6.994818652849741
Harvey,77471,8,1,12.5
Harvey,77479,225,4,1.7777777777777777
Harvey,77485,5,0,0.0
Harvey,77488,139,11,7.913669064748201
Harvey,77493,14,2,14.285714285714285
Harvey,77494,18,2,11.11111111111111
Harvey,77506,57,4,7.017543859649122
Harvey,77520,24,5,20.833333333333336
Harvey,77521,610,46,7.540983606557377
Harvey,77530,12,1,8.333333333333332
Harvey,77532,6,0,0.0
Harvey,77535,1,0,0.0
Harvey,77539,11,2,18.181818181818183
Harvey,77541,67,0,0.0
Harvey,77546,224,11,4.910714285714286
Harvey,77547,20,2,10.0
Harvey,77551,6,1,16.666666666666664
Harvey,77554,108,13,12.037037037037036
Harvey,77562,2,0,0.0
Harvey,77563,131,0,0.0
Harvey,77565,33,2,6.0606060606060606
Harvey,77571,4,0,0.0
Harvey,77575,43,3,6.976744186046512
Harvey,77581,25,3,12.0
Harvey,77586,25,6,24.0
Harvey,77587,158,17,10.759493670886076
Harvey,77598,19,2,10.526315789473683
Harvey,77611,49,6,12.244897959183673
Harvey,77617,1,0,0.0
Harvey,77623,1,0,0.0
Harvey,77625,1,0,0.0
Harvey,77630,188,27,14.361702127659576
Harvey,77632,10,1,10.0
Harvey,77640,547,74,13.528336380255942
Harvey,77642,253,32,12.648221343873518
Harvey,77650,12,0,0.0
Harvey,77656,6,0,0.0
Harvey,77657,4,0,0.0
Harvey,77659,1,0,0.0
Harvey,77662,55,8,14.545454545454545
Harvey,77901,273,32,11.72161172161172
Harvey,77905,3,0,0.0
Harvey,77971,1,0,0.0
Harvey,77979,6,1,16.666666666666664
Harvey,77982,35,0,0.0
Harvey,77983,18,0,0.0
Harvey,78336,77,7,9.090909090909092
Harvey,78358,1,0,0.0
Harvey,78362,13,5,38.46153846153847
Harvey,78373,965,293,30.362694300518132
Harvey,78382,311,52,16.720257234726688
Harvey,78402,1,0,0.0
Harvey,78414,1,0,0.0
Harvey,78418,982,7,0.7128309572301426
Harvey,78934,10,2,20.0
Irma,29401,750,53,7.066666666666667
Irma,29403,472,64,13.559322033898304
Irma,29405,89,8,8.98876404494382
Irma,29406,2,0,0.0
Irma,29407,242,19,7.851239669421488
Irma,29410,22,0,0.0
Irma,29412,130,13,10.0
Irma,29414,232,10,4.310344827586207
Irma,29418,33,1,3.0303030303030303
Irma,29438,5,0,0.0
Irma,29439,123,13,10.569105691056912
Irma,29449,3,1,33.33333333333333
Irma,29451,26,2,7.6923076923076925
Irma,29455,16,1,6.25
Irma,29456,27,7,25.925925925925924
Irma,29461,1,0,0.0
Irma,29464,114,4,3.508771929824561
Irma,29466,57,4,7.017543859649122
Irma,29470,1,0,0.0
Irma,29482,28,2,7.142857142857142
Irma,29492,12,2,16.666666666666664
Irma,29902,67,4,5.970149253731343
Irma,29907,3,0,0.0
Irma,29909,1,0,0.0
Irma,29910,16,0,0.0
Irma,29920,5,0,0.0
Irma,29926,6,1,16.666666666666664
Irma,29928,49,4,8.16326530612245
Irma,29935,1,1,100.0
Irma,29945,1,0,0.0
Irma,31328,352,10,2.840909090909091
Irma,31401,14,1,7.142857142857142
Irma,31404,135,10,7.4074074074074066
Irma,31405,16,0,0.0
Irma,31406,115,3,2.608695652173913
Irma,31407,2,0,0.0
Irma,31410,47,2,4.25531914893617
Irma,31415,55,2,3.6363636363636362
Irma,31419,44,2,4.545454545454546
Irma,31520,155,5,3.225806451612903
Irma,31522,220,21,9.545454545454547
Irma,31523,4,0,0.0
Irma,31525,4,0,0.0
Irma,31558,4,0,0.0
Irma,31565,1,0,0.0
Irma,32003,9,0,0.0
Irma,32011,77,5,6.493506493506493
Irma,32034,6,0,0.0
Irma,32043,1,0,0.0
Irma,32073,1,0,0.0
Irma,32080,2,1,50.0
Irma,32081,4,0,0.0
Irma,32082,17,2,11.76470588235294
Irma,32084,20,1,5.0
Irma,32086,2,0,0.0
Irma,32092,26,5,19.230769230769234
Irma,32095,4,0,0.0
Irma,32202,10,0,0.0
Irma,32204,224,3,1.3392857142857142
Irma,32205,40,4,10.0
Irma,32206,2,0,0.0
Irma,32207,266,19,7.142857142857142
Irma,32208,389,27,6.940874035989718
Irma,32209,162,4,2.4691358024691357
Irma,32210,543,31,5.70902394106814
Irma,32216,5,0,0.0
Irma,32217,12,0,0.0
Irma,32218,369,5,1.3550135501355014
Irma,32219,52,2,3.8461538461538463
Irma,32223,12,0,0.0
Irma,32224,2,0,0.0
Irma,32225,8,1,12.5
Irma,32226,8,2,25.0
Irma,32233,3,1,33.33333333333333
Irma,32244,268,5,1.8656716417910446
Irma,32250,5,1,20.0
Irma,32254,84,10,11.904761904761903
Irma,32257,19,1,5.263157894736842
Irma,32258,4,1,25.0
Irma,32259,1,0,0.0
Irma,32277,5,0,0.0
Irma,33001,1,0,0.0
Irma,33010,63,1,1.5873015873015872
Irma,33018,1,1,100.0
Irma,33034,1,0,0.0
Irma,33036,9,0,0.0
Irma,33037,88,12,13.636363636363635
Irma,33040,158,3,1.89873417721519
Irma,33043,4,0,0.0
Irma,33050,198,36,18.181818181818183
Irma,33051,39,4,10.256410256410255
