disaster,int_bin,eligible,evacuated,evacuation_rate
Florence (2018),Gale-force (50–63kt),5083,522,10.269525870548888
Florence (2018),Hurricane-force (>=64kt),8377,1594,19.028291751223588
Florence (2018),No TS winds (<34kt),222636,12542,5.633410589482383
Florence (2018),Tropical-storm (34–49kt),35240,2043,5.79738933030647
Harvey (2017),Gale-force (50–63kt),5019,426,8.487746563060371
Harvey (2017),Hurricane-force (>=64kt),2388,235,9.840871021775545
Harvey (2017),No TS winds (<34kt),199831,6309,3.1571678067967435
Harvey (2017),Tropical-storm (34–49kt),101003,4014,3.9741393819985547
Imelda (2019),No TS winds (<34kt),245748,12085,4.917639207643602
Irma (2017),Gale-force (50–63kt),114880,4874,4.242688022284122
Irma (2017),Hurricane-force (>=64kt),28883,1266,4.383201191012014
Irma (2017),No TS winds (<34kt),3814,76,1.9926586261143158
Irma (2017),Tropical-storm (34–49kt),9335,155,1.6604177825388324
Michael (2018),Gale-force (50–63kt),19264,1319,6.846968438538206
Michael (2018),Hurricane-force (>=64kt),5294,536,10.124669437098602
Michael (2018),No TS winds (<34kt),342191,16178,4.7277689945089145
Michael (2018),Tropical-storm (34–49kt),44283,2002,4.520922250073392
