disaster,t,int_bin,income_group,mean_rog,n
Florence (2018),-7,Gale-force (50–63kt),High,6.34057234538093,282
Florence (2018),-7,Gale-force (50–63kt),Low,6.6971548691678935,3713
Florence (2018),-7,Hurricane-force (>=64kt),High,6.67459902797634,2092
Florence (2018),-7,Hurricane-force (>=64kt),Low,6.413298182711874,4069
Florence (2018),-7,No TS winds (<34kt),High,5.549220251976862,75997
Florence (2018),-7,No TS winds (<34kt),Low,5.267055854077946,92573
Florence (2018),-7,Tropical-storm (34–49kt),High,6.524456592886924,15086
Florence (2018),-7,Tropical-storm (34–49kt),Low,6.449733816565597,12196
Florence (2018),-6,Gale-force (50–63kt),High,7.181245813911394,271
Florence (2018),-6,Gale-force (50–63kt),Low,6.151987438692695,3543
Florence (2018),-6,Hurricane-force (>=64kt),High,7.0809262078521025,2005
Florence (2018),-6,Hurricane-force (>=64kt),Low,5.455621570183727,3882
Florence (2018),-6,No TS winds (<34kt),High,4.9287892447986685,71527
Florence (2018),-6,No TS winds (<34kt),Low,4.593790451684222,87014
Florence (2018),-6,Tropical-storm (34–49kt),High,5.771267653638353,14253
Florence (2018),-6,Tropical-storm (34–49kt),Low,5.827111641016332,11594
Florence (2018),-5,Gale-force (50–63kt),High,5.8942230334279,254
Florence (2018),-5,Gale-force (50–63kt),Low,6.230596601502134,3404
Florence (2018),-5,Hurricane-force (>=64kt),High,7.710032465997287,1925
Florence (2018),-5,Hurricane-force (>=64kt),Low,5.220105025553913,3690
Florence (2018),-5,No TS winds (<34kt),High,4.504773534837371,68036
Florence (2018),-5,No TS winds (<34kt),Low,4.0569907106571685,83573
Florence (2018),-5,Tropical-storm (34–49kt),High,5.386640808253271,13661
Florence (2018),-5,Tropical-storm (34–49kt),Low,4.949586843285283,11268
Florence (2018),-4,Gale-force (50–63kt),High,6.153704201731829,273
Florence (2018),-4,Gale-force (50–63kt),Low,5.894005600179194,3530
Florence (2018),-4,Hurricane-force (>=64kt),High,6.00998906721564,1983
Florence (2018),-4,Hurricane-force (>=64kt),Low,5.866227397476147,3901
Florence (2018),-4,No TS winds (<34kt),High,4.266869461703161,70159
Florence (2018),-4,No TS winds (<34kt),Low,4.262505242826674,85827
Florence (2018),-4,Tropical-storm (34–49kt),High,4.874134661167934,14323
