disaster,home_zip,int_bin
Florence (2018),27607,Tropical-storm (34–49kt)
Florence (2018),27801,Tropical-storm (34–49kt)
Florence (2018),27858,Gale-force (50–63kt)
Florence (2018),28472,Gale-force (50–63kt)
Florence (2018),28712,No TS winds (<34kt)
Florence (2018),29732,No TS winds (<34kt)
Florence (2018),32308,No TS winds (<34kt)
Florence (2018),32625,No TS winds (<34kt)
Florence (2018),32824,No TS winds (<34kt)
Florence (2018),32904,No TS winds (<34kt)
Florence (2018),33010,No TS winds (<34kt)
Florence (2018),33076,No TS winds (<34kt)
Florence (2018),33126,No TS winds (<34kt)
Florence (2018),27253,Tropical-storm (34–49kt)
Florence (2018),27910,Tropical-storm (34–49kt)
Florence (2018),28778,No TS winds (<34kt)
Florence (2018),32084,No TS winds (<34kt)
Florence (2018),32233,No TS winds (<34kt)
Florence (2018),33055,No TS winds (<34kt)
Florence (2018),33127,No TS winds (<34kt)
Florence (2018),33463,No TS winds (<34kt)
Florence (2018),33606,No TS winds (<34kt)
Florence (2018),27516,Tropical-storm (34–49kt)
Florence (2018),28104,Tropical-storm (34–49kt)
Florence (2018),28270,Tropical-storm (34–49kt)
Florence (2018),32080,No TS winds (<34kt)
Florence (2018),33190,No TS winds (<34kt)
Florence (2018),33760,No TS winds (<34kt)
Florence (2018),34653,No TS winds (<34kt)
Florence (2018),27873,Gale-force (50–63kt)
Florence (2018),32669,No TS winds (<34kt)
Florence (2018),32812,No TS winds (<34kt)
Florence (2018),33437,No TS winds (<34kt)
Florence (2018),33613,No TS winds (<34kt)
Florence (2018),33716,No TS winds (<34kt)
Florence (2018),34461,No TS winds (<34kt)
Florence (2018),34604,No TS winds (<34kt)
Florence (2018),27021,No TS winds (<34kt)
Florence (2018),27370,No TS winds (<34kt)
Florence (2018),28075,Tropical-storm (34–49kt)
Florence (2018),33306,No TS winds (<34kt)
Florence (2018),34292,No TS winds (<34kt)
Florence (2018),27281,Tropical-storm (34–49kt)
Florence (2018),32129,No TS winds (<34kt)
Florence (2018),32301,No TS winds (<34kt)
Florence (2018),34269,No TS winds (<34kt)
Florence (2018),34448,No TS winds (<34kt)
Florence (2018),27127,No TS winds (<34kt)
Florence (2018),30568,No TS winds (<34kt)
Florence (2018),32701,No TS winds (<34kt)
Florence (2018),33146,No TS winds (<34kt)
Florence (2018),34788,No TS winds (<34kt)
Florence (2018),27295,No TS winds (<34kt)
Florence (2018),30546,No TS winds (<34kt)
Florence (2018),33890,No TS winds (<34kt)
Florence (2018),27042,No TS winds (<34kt)
Florence (2018),27244,No TS winds (<34kt)
Florence (2018),27283,No TS winds (<34kt)
Florence (2018),28586,Hurricane-force (>=64kt)
Florence (2018),27024,No TS winds (<34kt)
Florence (2018),28394,Tropical-storm (34–49kt)
Florence (2018),28605,No TS winds (<34kt)
Florence (2018),28786,No TS winds (<34kt)
Florence (2018),36607,No TS winds (<34kt)
Florence (2018),32757,No TS winds (<34kt)
Florence (2018),37690,No TS winds (<34kt)
Florence (2018),27235,No TS winds (<34kt)
Florence (2018),27851,Tropical-storm (34–49kt)
Florence (2018),27805,Tropical-storm (34–49kt)
Florence (2018),32097,No TS winds (<34kt)
Florence (2018),37391,No TS winds (<34kt)
Florence (2018),33973,No TS winds (<34kt)
Florence (2018),34734,No TS winds (<34kt)
Florence (2018),34428,No TS winds (<34kt)
Florence (2018),34433,No TS winds (<34kt)
Florence (2018),32072,No TS winds (<34kt)
Florence (2018),28726,No TS winds (<34kt)
Florence (2018),27229,Tropical-storm (34–49kt)
Florence (2018),27562,Tropical-storm (34–49kt)
Florence (2018),28305,Tropical-storm (34–49kt)
Florence (2018),28685,No TS winds (<34kt)
Florence (2018),28032,No TS winds (<34kt)
Florence (2018),33767,No TS winds (<34kt)
Florence (2018),28385,Gale-force (50–63kt)
Florence (2018),28429,Hurricane-force (>=64kt)
Florence (2018),27350,No TS winds (<34kt)
Florence (2018),28373,Tropical-storm (34–49kt)
Florence (2018),32403,No TS winds (<34kt)
Florence (2018),27872,Tropical-storm (34–49kt)
Florence (2018),27053,No TS winds (<34kt)
Florence (2018),29635,No TS winds (<34kt)
Florence (2018),31643,No TS winds (<34kt)
Florence (2018),33838,No TS winds (<34kt)
Florence (2018),27581,Tropical-storm (34–49kt)
Florence (2018),37385,No TS winds (<34kt)
Florence (2018),28585,Hurricane-force (>=64kt)
Florence (2018),27551,Tropical-storm (34–49kt)
Florence (2018),24054,No TS winds (<34kt)
Florence (2018),27980,Tropical-storm (34–49kt)
Florence (2018),29741,Tropical-storm (34–49kt)
Florence (2018),27568,Tropical-storm (34–49kt)
Florence (2018),27860,Gale-force (50–63kt)
Florence (2018),36314,No TS winds (<34kt)
Florence (2018),32509,No TS winds (<34kt)
Florence (2018),37317,No TS winds (<34kt)
Florence (2018),28720,No TS winds (<34kt)
Florence (2018),23847,Tropical-storm (34–49kt)
Florence (2018),29676,No TS winds (<34kt)
Florence (2018),31569,No TS winds (<34kt)
Florence (2018),24520,No TS winds (<34kt)
Florence (2018),34268,No TS winds (<34kt)
Irma (2017),33414,Gale-force (50–63kt)
Irma (2017),33523,Hurricane-force (>=64kt)
Irma (2017),33578,Gale-force (50–63kt)
Irma (2017),33813,Hurricane-force (>=64kt)
