zip,n_edges,support_ratio_cdr,clustering_cdr,n_users,support_ratio_fb,clustering_fb
94010,1520.0,0.4598684210526316,0.09113738543462557,1791,0.83806998,0.086889997
94015,5647.0,0.42447317159553744,0.10609849672563816,4869,0.89528,0.097000003
95758,2350.0,0.47319148936170213,0.1066367321553487,2268,0.82327002,0.088509999
95380,3800.0,0.47842105263157897,0.11511441804407745,2685,0.9314,0.087399997
94041,6285.0,0.23277645186953064,0.08880833704653504,3442,0.57998002,0.090369999
94518,811.0,0.4796547472256473,0.09186895783430911,1043,0.73978001,0.086659998
95207,1084.0,0.4326568265682657,0.08970739814966389,1495,0.86339003,0.081649996
94128,1361.0,0.432035268185158,0.11449699515137488,963,0.42146,0.10017
94565,2425.0,0.4589690721649485,0.10314225113400588,2495,0.93686002,0.085600004
94588,1951.0,0.4259354177344951,0.09730499194638349,2311,0.80615997,0.096759997
94520,807.0,0.4634448574969021,0.09632323876983193,1182,0.84130001,0.087750003
94523,569.0,0.43233743409490333,0.08552506459005958,1129,0.76512003,0.083949998
94610,600.0,0.38333333333333336,0.06746590846064553,1268,0.54328001,0.073270001
93923,762.0,0.484251968503937,0.09493447578777911,784,0.89644003,0.087909997
94587,4396.0,0.5614194722474978,0.11651070174082113,3608,0.93096,0.095109999
95116,780.0,0.4794871794871795,0.10436832546491105,1132,0.76284999,0.08117
95665,630.0,0.4142857142857143,0.09711713674313363,770,0.89172,0.098760001
95136,940.0,0.44361702127659575,0.10272413450443618,1364,0.68911999,0.086479999
94501,2120.0,0.42924528301886794,0.09903066520592592,2125,0.88843,0.083169997
94118,2282.0,0.29053461875547765,0.08293938341505944,2795,0.63006002,0.079489999
94116,1306.0,0.4563552833078101,0.10068111916922286,1914,0.81181002,0.086290002
94124,1406.0,0.4751066856330014,0.10235025623317406,1732,0.90886003,0.083769999
94533,3428.0,0.40781796966161027,0.11060256084725147,2605,0.93760002,0.085040003
95008,611.0,0.2896890343698854,0.07463240491764929,1266,0.76464999,0.088349998
95336,1327.0,0.4069329314242653,0.09575066021461744,1366,0.92711997,0.08574
94063,1108.0,0.4503610108303249,0.09065234219923901,1606,0.85110003,0.083350003
94122,1194.0,0.45979899497487436,0.10080460088940256,1765,0.78938001,0.081900001
95476,3077.0,0.5466363340916477,0.11527015128450435,1890,0.98703998,0.1035
95448,2169.0,0.49377593360995853,0.10594793415087152,1735,0.95784998,0.094350003
94115,777.0,0.38481338481338484,0.09479764943728793,1250,0.60247999,0.080349997
94517,356.0,0.4297752808988764,0.0959709310346425,500,0.89247,0.089749999
93905,2669.0,0.554140127388535,0.13010628567475702,1639,0.92009002,0.082529999
93906,4555.0,0.534357848518112,0.1211059682565768,2895,0.91197002,0.082649998
93960,2381.0,0.5451490970180597,0.14649592710602335,1433,0.97702998,0.10302
93901,2061.0,0.4255215914604561,0.09633758717603441,1727,0.85663998,0.0801
95660,1409.0,0.46841731724627395,0.10274558125389895,1565,0.77609003,0.083300002
94531,1663.0,0.4846662657847264,0.11232945520074179,1795,0.84224999,0.087590002
94559,525.0,0.4438095238095238,0.09521877044901851,827,0.93474001,0.087899998
95640,723.0,0.5864453665283541,0.10080392454142455,584,0.97171003,0.10382
94110,1605.0,0.32398753894080995,0.0769452420091478,2490,0.7173,0.073150001
94402,555.0,0.5927927927927928,0.10863162520816269,877,0.72684997,0.08303
94061,846.0,0.45390070921985815,0.09397689048606606,1234,0.82872999,0.082180001
94030,521.0,0.6276391554702495,0.10687629276384004,652,0.90240002,0.09584
94901,992.0,0.37701612903225806,0.0824084568299918,1359,0.93115002,0.091779999
95608,1327.0,0.4461190655614167,0.09776623414796083,1812,0.76563001,0.084339999
95206,2065.0,0.5757869249394673,0.12712793959755642,1875,0.90292001,0.08247
95388,1255.0,0.5848605577689243,0.12963107487122835,963,0.91039002,0.087010004
95219,1805.0,0.5163434903047092,0.09774254685175066,1744,0.80772001,0.08467
94607,827.0,0.5513905683192262,0.09602108646859756,1114,0.75781,0.0757
95210,1216.0,0.5641447368421053,0.11892449748467424,1331,0.88031,0.086130001
94804,1580.0,0.3348101265822785,0.08396046474098305,1908,0.88804001,0.088040002
93955,3522.0,0.5156161272004542,0.12166048755750579,1929,0.95396,0.092210002
95242,5481.0,0.42090859332238645,0.10424853446124306,2615,0.9242,0.08743
95401,1117.0,0.5837063563115488,0.10738498424001487,1432,0.83556002,0.08608
94509,1106.0,0.4349005424954792,0.09871020982326677,1441,0.90293002,0.084469996
94544,1948.0,0.46919917864476385,0.10213134391722904,2626,0.84336001,0.089649998
94112,3815.0,0.47208387942332897,0.10234038725565735,4258,0.83471,0.087300003
94545,1544.0,0.49352331606217614,0.10904226090453423,1599,0.83340001,0.093379997
94080,1529.0,0.447351209941138,0.10206109514324695,1944,0.88655001,0.090839997
95368,1052.0,0.5874524714828897,0.11808898825941593,753,0.87520999,0.089189999
95322,562.0,0.599644128113879,0.12504948562197016,450,0.97248,0.10409
95360,1428.0,0.6386554621848739,0.12514787628737628,1021,0.98236001,0.10289
95630,3022.0,0.43514228987425546,0.09629248034080204,3374,0.90755999,0.089769997
95126,677.0,0.37370753323485967,0.08856222974656196,1198,0.62234998,0.08388
95648,311.0,0.41479099678456594,0.10345798488956591,532,0.91196001,0.084349997
95747,2006.0,0.5139581256231306,0.11596818550321938,2058,0.82881999,0.084250003
95765,610.0,0.4081967213114754,0.08795598928285314,761,0.82424003,0.087739997
94305,1389.0,0.421886249100072,0.09108105843301019,1092,0.95265001,0.097599998
95330,1159.0,0.6229508196721312,0.1233360035223083,1041,0.85301,0.086350001
95020,3336.0,0.42026378896882494,0.1161035822231116,2135,0.95455003,0.08568
95111,791.0,0.5284450063211125,0.10600222527057546,1114,0.84130001,0.08687
95128,571.0,0.3905429071803853,0.08445086334177372,940,0.64415002,0.0845
95120,995.0,0.4994974874371859,0.09958527650203305,1163,0.90875,0.09279
95642,1339.0,0.48917102315160566,0.10845864841330759,1041,0.97614998,0.10482
95050,876.0,0.3904109589041096,0.08971319231058111,1590,0.74770999,0.090709999
95240,2143.0,0.54129724685021,0.10623148070845495,2126,0.95455998,0.088380001
95677,549.0,0.5154826958105647,0.1021473656464088,918,0.75919998,0.085830003
95204,1187.0,0.43723673125526535,0.09369703604236693,1511,0.78793001,0.080490001
94536,2223.0,0.4664867296446244,0.10030751638067155,2734,0.84258002,0.093429998
94123,373.0,0.4128686327077748,0.0772067162243111,713,0.81361002,0.087870002
94109,721.0,0.2829403606102635,0.07870675588835023,1476,0.64678001,0.083489999
94117,463.0,0.2915766738660907,0.06163206804972345,903,0.66729999,0.077950001
93620,4071.0,0.7300417587816261,0.16813715078751815,1364,0.99102998,0.11741
95054,774.0,0.4186046511627907,0.0932891054714518,1374,0.68611997,0.095710002
