storm,threshold_km,beta_pp,se_pp,lo_pp,hi_pp,p,n_tract
Harvey (2017),10,0.06289249487122958,0.1157102286937383,-0.16389955336849749,0.28968454311095665,0.5867618819584152,992
Harvey (2017),50,0.1274647371064184,0.07755024186373642,-0.024533736946504986,0.2794632111593418,0.10025043292454076,992
Harvey (2017),100,0.08341446273551681,0.06832165621039157,-0.05049598343685066,0.21732490890788428,0.22212082136772537,992
Irma (2017),10,0.11517612265069063,0.10915003872192472,-0.09875795324428183,0.3291101985456631,0.29132966745615885,633
Irma (2017),50,0.16837175107395852,0.06970219204105849,0.031755454673483896,0.30498804747443314,0.015709842918380203,633
Irma (2017),100,0.14840648365380427,0.05691679192042383,0.03684957148977357,0.25996339581783495,0.009122503476355844,633
Florence (2018),10,0.15740941101785924,0.26377772972637403,-0.35959493924583386,0.6744137612815523,0.5506741761765328,1162
Florence (2018),50,0.4677723717135792,0.23895616908581083,-0.0005817196946100167,0.9361264631217685,0.0502810095464767,1162
Florence (2018),100,0.6492159063196297,0.1924646097414171,0.27198527122645216,1.0264465414128072,0.0007430797673568972,1162
Michael (2018),10,0.14350476933837447,0.1246369926374351,-0.10078373623099834,0.3877932749077473,0.2495751833872497,1167
Michael (2018),50,0.2599552164841442,0.10348784314514689,0.057119043919656304,0.46279138904863215,0.012006962016048579,1167
Michael (2018),100,0.26885726212849415,0.09653760324374654,0.07964355977075094,0.45807096448623735,0.0053527659632825455,1167
Imelda (2019),10,0.4641555210519209,0.16124861188719428,0.14810824175302018,0.7802028003508217,0.003995603471975862,1002
Imelda (2019),50,0.5456869800413131,0.11147060105943729,0.32720460196481604,0.7641693581178102,9.813372505784852e-07,1002
Imelda (2019),100,0.4211602980682962,0.09985667402428769,0.22544121698069233,0.6168793791559001,2.4686382502691268e-05,1002
