storm,group,threshold_km,mean_share,sd_share,n_tract,se_share
Harvey (2017),High income / High EC resid,10,0.033193831738359734,0.041745253693400104,234,0.00272897260490421
Harvey (2017),High income / High EC resid,50,0.01705019699968083,0.02912409181668036,234,0.001903901442165655
Harvey (2017),High income / High EC resid,100,0.011899636692246437,0.024844840300005503,234,0.0016241580192541598
Harvey (2017),High income / Low EC resid,10,0.03204265390258961,0.028555888597770678,262,0.001764188689264657
Harvey (2017),High income / Low EC resid,50,0.016665311028353516,0.022483122060859183,262,0.001389011919671833
Harvey (2017),High income / Low EC resid,100,0.013118537235775555,0.0208953187650651,262,0.0012909171044596826
Harvey (2017),Low income / High EC resid,10,0.03123510354852835,0.035141597370233826,262,0.0021710551360008845
Harvey (2017),Low income / High EC resid,50,0.0195239204190332,0.028536523423093374,262,0.0017629923047776407
Harvey (2017),Low income / High EC resid,100,0.015964072649758198,0.0251630499172747,262,0.0015545784155679766
Harvey (2017),Low income / Low EC resid,10,0.03531091360020713,0.05019236699766177,234,0.0032811776763395878
Harvey (2017),Low income / Low EC resid,50,0.02045514412540636,0.04504782610327216,234,0.0029448685172502455
Harvey (2017),Low income / Low EC resid,100,0.016831147252743064,0.04081205228492491,234,0.002667967320392322
Irma (2017),High income / High EC resid,10,0.03310028335508489,0.02232140297554062,189,0.001623643154809959
Irma (2017),High income / High EC resid,50,0.015526247765082834,0.016749312932561673,189,0.0012183332436820102
Irma (2017),High income / High EC resid,100,0.012129524436287006,0.013049453315033122,189,0.0009492080570465349
Irma (2017),High income / Low EC resid,10,0.03520356557423716,0.02433649865482923,128,0.00215106290364588
Irma (2017),High income / Low EC resid,50,0.013984797770483923,0.013014981702935784,128,0.0011503727273955917
Irma (2017),High income / Low EC resid,100,0.011189613959883011,0.012056660683119981,128,0.0010656683159374213
Irma (2017),Low income / High EC resid,10,0.03349223357754185,0.03729493827580832,128,0.0032964379698447233
Irma (2017),Low income / High EC resid,50,0.014985146987773916,0.023204344692845446,128,0.002050993685662636
Irma (2017),Low income / High EC resid,100,0.01239085960469764,0.022855309925266725,128,0.002020143079284538
Irma (2017),Low income / Low EC resid,10,0.03131542375689914,0.03539190021069033,188,0.002581219611663339
Irma (2017),Low income / Low EC resid,50,0.011639443803784481,0.017205136801891098,188,0.001254813566663979
Irma (2017),Low income / Low EC resid,100,0.007671231842739483,0.012930808702099578,188,0.000943076150696328
Florence (2018),High income / High EC resid,10,0.06037867482680678,0.07514915125882891,347,0.004034217812305741
Florence (2018),High income / High EC resid,50,0.03683376201839936,0.07040632800548914,347,0.0037796097198824316
Florence (2018),High income / High EC resid,100,0.030857584808228058,0.06728694535925543,347,0.0036121524855153974
Florence (2018),High income / Low EC resid,10,0.05610143631319572,0.07669295107141633,234,0.005013575052156006
Florence (2018),High income / Low EC resid,50,0.023437963701075204,0.03704325581430386,234,0.0024215933877454457
Florence (2018),High income / Low EC resid,100,0.01679159813431035,0.029805204693185212,234,0.0019484271838099826
Florence (2018),Low income / High EC resid,10,0.057126527838647786,0.060931844379940966,234,0.0039832392755451
Florence (2018),Low income / High EC resid,50,0.03369078580610723,0.05738585798598831,234,0.0037514308932669067
Florence (2018),Low income / High EC resid,100,0.025306190752988636,0.044103870530465425,234,0.002883160211023243
Florence (2018),Low income / Low EC resid,10,0.05965784503694233,0.08788544861615175,347,0.004717938077951427
Florence (2018),Low income / Low EC resid,50,0.0319136419054974,0.07769599964628318,347,0.004170939797288946
Florence (2018),Low income / Low EC resid,100,0.02185069759289253,0.05220143056443465,347,0.0028023196201586134
Michael (2018),High income / High EC resid,10,0.04167579903777758,0.03126187285819058,349,0.0016734096881911534
Michael (2018),High income / High EC resid,50,0.020985704188458004,0.019147807697648157,349,0.0010249586470463354
Michael (2018),High income / High EC resid,100,0.01701898126378667,0.01760261849775545,349,0.0009422465654983697
Michael (2018),High income / Low EC resid,10,0.04192157778650652,0.033680844150956374,235,0.002197096016380667
Michael (2018),High income / Low EC resid,50,0.018959212938371515,0.021060805964799804,235,0.0013738554971970299
Michael (2018),High income / Low EC resid,100,0.014852037295105128,0.015771519449257268,235,0.001028820489145888
Michael (2018),Low income / High EC resid,10,0.05431966932415263,0.05620905773057219,235,0.003666674631753385
Michael (2018),Low income / High EC resid,50,0.02984676677407464,0.05178173288904158,235,0.0033778678034876546
Michael (2018),Low income / High EC resid,100,0.0249945925409943,0.04978278774903347,235,0.003247471000355551
Michael (2018),Low income / Low EC resid,10,0.0489537014708496,0.05597466931027462,348,0.003000557230047292
Michael (2018),Low income / Low EC resid,50,0.024501070536615488,0.04162990064242383,348,0.0022315969151397276
Michael (2018),Low income / Low EC resid,100,0.020274358197042264,0.040611213436576137,348,0.0021769895490163175
Imelda (2019),High income / High EC resid,10,0.048798152312408014,0.04022298116180338,236,0.002618293056928688
Imelda (2019),High income / High EC resid,50,0.02867034944237034,0.035326635513502146,236,0.002299568103059671
Imelda (2019),High income / High EC resid,100,0.02130927472224796,0.03124603058477274,236,0.002033943347152539
Imelda (2019),High income / Low EC resid,10,0.04689917836815832,0.04603467966885686,265,0.0028278878925593943
Imelda (2019),High income / Low EC resid,50,0.02457991256970397,0.03850665844048627,265,0.0023654452245583566
Imelda (2019),High income / Low EC resid,100,0.019274980235131297,0.037278597418311944,265,0.0022900060356487767
Imelda (2019),Low income / High EC resid,10,0.06171880838594829,0.0793697073936276,265,0.0048756423676444985
Imelda (2019),Low income / High EC resid,50,0.03924823917308863,0.05185405579797728,265,0.0031853693264732677
Imelda (2019),Low income / High EC resid,100,0.031840458438716315,0.046784284187480735,265,0.0028739357320941255
Imelda (2019),Low income / Low EC resid,10,0.04831449082928751,0.04483791293412845,236,0.00291869952777359
Imelda (2019),Low income / Low EC resid,50,0.024434811096666738,0.03394484839594924,236,0.0022096214230388988
Imelda (2019),Low income / Low EC resid,100,0.01807200687068597,0.025073271369805205,236,0.0016321309471808048
