GEOID,median_income
01001020100,60563.0
01001020200,57460.0
01001020300,77371.0
01001020400,73191.0
01001020501,79953.0
01001020502,68575.0
01001020503,86959.0
01001020600,64904.0
01001020700,58155.0
01001020801,87237.0
01001020803,52955.0
01001020804,92500.0
01001020805,108400.0
01001020901,77905.0
01001020902,59063.0
01001021000,35761.0
01001021100,32025.0
01003010100,54156.0
01003010200,50368.0
01003010300,75905.0
01003010400,55697.0
01003010500,58026.0
01003010600,22780.0
01003010704,78798.0
01003010706,116912.0
01003010707,101352.0
01003010708,87987.0
01003010709,115036.0
01003010710,79556.0
01003010711,82585.0
01003010800,62826.0
01003010903,70284.0
01003010904,63517.0
01003010906,51611.0
01003010907,92083.0
01003010908,67988.0
01003011000,54417.0
01003011102,84493.0
01003011103,75625.0
01003011104,82059.0
01003011201,70368.0
01003011202,73547.0
01003011300,88121.0
01003011409,79605.0
01003011410,64383.0
01003011411,46042.0
01003011412,60962.0
01003011413,59628.0
01003011414,94816.0
01003011415,107727.0
01003011416,53167.0
01003011417,94861.0
01003011418,59693.0
01003011419,64399.0
01003011501,58500.0
01003011503,55550.0
01003011504,68784.0
01003011601,54439.0
01003011603,67159.0
01003011604,63889.0
01005950100,57578.0
01005950200,38589.0
01005950300,33864.0
01005950400,38261.0
01005950500,54891.0
01005950600,38393.0
01005950700,52381.0
01005950800,32167.0
01005950900,28632.0
01007010001,39671.0
01007010005,63684.0
01007010006,59865.0
01007010007,49730.0
01007010008,55091.0
01007010009,31860.0
01007010010,36458.0
01007010011,49290.0
01009050103,52500.0
01009050104,62415.0
01009050105,45901.0
01009050106,52350.0
01009050107,49625.0
01009050200,58466.0
01009050301,49615.0
01009050302,49375.0
01009050400,59722.0
01009050501,49250.0
01009050502,56642.0
01009050601,70625.0
01009050603,94497.0
01009050604,70985.0
01009050701,62344.0
01009050702,38913.0
01011952100,42092.0
01011952202,24567.0
01011952500,58409.0
01013952700,53158.0
01013952800,77250.0
01013952900,49784.0
01013953000,41364.0
01013953100,29911.0
01013953200,49037.0
01013953300,42375.0
01013953400,35224.0
01013953500,43508.0
01015000200,37324.0
01015000300,27995.0
01015000400,33384.0
01015000500,21648.0
01015000600,15000.0
01015000700,38580.0
01015000800,31667.0
01015000900,82319.0
01015001000,75806.0
01015001101,76429.0
01015001102,34774.0
01015001103,59096.0
01015001201,41777.0
01015001202,62963.0
01015001300,36111.0
01015001400,43469.0
01015001501,63636.0
01015001502,44742.0
01015001600,39987.0
01015001700,70221.0
01015001801,53333.0
01015001802,68080.0
01015002001,78813.0
01015002002,59778.0
01015002101,19688.0
01015002102,59121.0
01015002104,53223.0
01015002105,38307.0
01015002200,50400.0
01015002300,50975.0
01015002400,50896.0
01015002502,64094.0
01015002503,92179.0
01015002504,71559.0
01015002600,69746.0
01017953800,42373.0
01017953900,49570.0
01017954001,56936.0
01017954002,38571.0
01017954200,50875.0
01017954300,59147.0
01017954600,42248.0
01017954700,58493.0
01017954800,45292.0
01019955701,42295.0
01019955702,49010.0
01019955801,58455.0
01019955802,47788.0
01019955900,65104.0
01019956000,42183.0
01019956101,38688.0
01019956102,45257.0
01021060101,58750.0
01021060103,50114.0
01021060104,51979.0
01021060200,83819.0
01021060300,62902.0
01021060401,66430.0
01021060403,63647.0
01021060404,59717.0
01021060500,49938.0
01021060600,77500.0
01021060701,58750.0
01021060702,46690.0
01023956700,46131.0
01023956800,40935.0
01023956900,41741.0
01023957000,54333.0
01025957500,53250.0
01025957601,55268.0
01025957603,63056.0
01025957604,42168.0
01025957700,29132.0
01025957800,42271.0
01025957901,57415.0
01025957902,52927.0
01025958003,34097.0
01027958900,47500.0
01027959000,33517.0
01027959100,62464.0
01027959200,51324.0
01029959500,47813.0
01029959600,56862.0
01029959700,47442.0
01029959800,54524.0
01031010100,50000.0
01031010200,62222.0
01031010300,73015.0
01031010400,40329.0
01031010500,41960.0
01031010600,48144.0
01031010700,61379.0
01031010800,94020.0
01031010900,54157.0
01031011000,44520.0
01031011100,50294.0
01031011203,65987.0
01031011204,125380.0
01031011205,87313.0
01031011206,64959.0
01031011300,33667.0
01033020100,39918.0
01033020200,51250.0
01033020300,20729.0
01033020400,84750.0
01033020500,59342.0
01033020600,40321.0
01033020703,71992.0
01033020704,68173.0
01033020705,47266.0
01033020706,73170.0
01033020801,63456.0
01033020802,48167.0
01033020901,61760.0
01033020902,60081.0
01033021000,50060.0
01035960200,44318.0
01035960300,50556.0
01035960400,42659.0
01035960500,39291.0
01035960600,37922.0
01037961000,40295.0
01037961100,63060.0
01037961200,54453.0
01039961600,66000.0
01039961700,47500.0
01039961800,29821.0
01039961900,59063.0
01039962000,43500.0
01039962100,46442.0
01039962300,60000.0
01039962400,55128.0
01039962500,39399.0
01039962600,48472.0
01039962700,38049.0
01039962800,41278.0
01039962900,73305.0
01039963000,41106.0
01041963400,44306.0
01041963500,54526.0
01041963600,53417.0
01041963700,49404.0
01041963800,43106.0
01041963900,26750.0
01043964100,45610.0
01043964201,63849.0
01043964202,57076.0
01043964300,62625.0
01043964400,72880.0
01043964500,61699.0
01043964600,65862.0
01043964700,63125.0
01043964800,44906.0
01043964901,71406.0
01043964902,61797.0
01043965001,69234.0
01043965002,33447.0
01043965100,69786.0
01043965200,68889.0
01043965300,50192.0
01043965401,30882.0
01043965402,50495.0
01043965501,62500.0
01043965502,73750.0
01043965600,67679.0
01043965700,48605.0
01045020000,72681.0
01045020100,57852.0
01045020200,44958.0
01045020300,55105.0
01045020400,58462.0
01045020500,38594.0
01045020700,24662.0
01045020801,56989.0
01045020802,56625.0
01045021101,67930.0
01045021102,39698.0
01045021200,57719.0
01045021300,63085.0
01045021400,41086.0
01047956101,52344.0
01047956102,55625.0
01047956201,50083.0
01047956202,54179.0
01047956300,27449.0
01047956400,20255.0
01047956500,16424.0
01047956600,29991.0
01047956701,47647.0
01047956702,47421.0
01047956800,37750.0
01047956900,30743.0
01047957000,32500.0
01047957100,48214.0
01047957200,45667.0
01047957301,24718.0
01047957302,60265.0
01049960101,51442.0
01049960102,50202.0
01049960200,44861.0
01049960301,51250.0
01049960302,59655.0
01049960303,54896.0
01049960401,72767.0
01049960402,71571.0
01049960500,43792.0
01049960601,66563.0
01049960602,51004.0
01049960701,32639.0
01049960702,72640.0
01049960703,58269.0
01049960800,39741.0
01049960900,40521.0
01049961000,56465.0
01049961100,36841.0
01049961200,72750.0
01049961300,32463.0
01049961400,43794.0
01051030101,82018.0
01051030102,70273.0
01051030103,75133.0
01051030200,90324.0
01051030300,69583.0
01051030401,63701.0
01051030402,60887.0
01051030500,68895.0
01051030600,73199.0
01051030701,121167.0
01051030702,106667.0
01051030801,72313.0
01051030802,55000.0
01051030901,88858.0
01051030902,66635.0
01051031001,47629.0
01051031002,50257.0
01051031100,75667.0
01051031200,39167.0
01051031300,71302.0
01053969801,34427.0
01053969802,42449.0
01053969900,48656.0
01053970100,59239.0
01053970200,43750.0
01053970300,41048.0
01053970400,57683.0
