event,GEOID,n_total,n_damaged,n_abandoned,n_rhigher,Abandoned_normalized,R_Higher_normalized,median_income,ec_tract,support_ratio_tract,volunteering_rate_tract
Harvey,22019000100,18,0,0,0,,,42963.0,0.6396399699999998,0.98470002,0.0694100039999999
Harvey,22019000200,1,0,0,0,,,21578.0,0.6396399699999998,0.9847000199999996,0.069410004
Harvey,22019000300,15,2,2,0,1.0,0.0,30597.0,0.6396399700000002,0.98470002,0.069410004
Harvey,22019000500,67,0,0,0,,,70756.0,0.6396399700000002,0.9847000200000002,0.0694100039999999
Harvey,22019000700,6,0,0,0,,,39600.0,0.6396399700000004,0.9847000199999998,0.0694100039999999
Harvey,22019001000,1,0,0,0,,,54240.0,0.91558999,0.97867,0.10316
Harvey,22019001401,3,1,0,0,0.0,0.0,36580.0,,,
Harvey,22019001500,13,1,1,0,1.0,0.0,35156.0,0.6399781705714286,0.977514724190476,0.0729231453428571
Harvey,22019001908,1,0,0,0,,,100991.0,,,
Harvey,22019002207,1,0,0,0,,,93056.0,,,
Harvey,22019002300,1,0,0,0,,,80760.0,0.7822108738694885,0.9842775061305118,0.1149427760141093
Harvey,22019002500,9,1,1,0,1.0,0.0,79044.0,0.8725500100000002,0.9498000100000004,0.11932
Harvey,22019002600,1,0,0,0,,,62683.0,0.8725500100000003,0.9498000100000004,0.11932
Harvey,22019002702,3,0,0,0,,,72849.0,,,
Harvey,22019003500,7,0,0,0,,,40703.0,0.7337300199999996,0.99141002,0.1208299999999999
Harvey,48007950101,43,0,0,0,,,62455.0,,,
Harvey,48007950102,21,0,0,0,,,58606.0,,,
Harvey,48007950103,94,0,0,0,,,59116.0,,,
Harvey,48007950200,76,30,9,14,0.3,0.4666666666666667,54554.0,0.8176900100000002,0.9887200000000004,0.0993300009999999
Harvey,48007950302,1,0,0,0,,,83821.0,,,
Harvey,48007950400,67,22,6,12,0.2727272727272727,0.5454545454545454,40660.0,0.8176900099999999,0.9887199999999994,0.0993300009999999
Harvey,48007950501,3,0,0,0,,,51168.0,,,
Harvey,48007950503,8,0,0,0,,,92969.0,,,
Harvey,48039664200,66,0,0,0,,,70750.0,0.7870400000000002,0.9799299799999998,0.0465899999999999
Harvey,48039664400,1,0,0,0,,,44794.0,0.7870400000000001,0.9799299799999996,0.04659
Harvey,48057000401,6,1,0,0,0.0,0.0,66731.0,,,
Harvey,48057000501,12,0,0,0,,,92500.0,,,
Harvey,48057000502,41,0,0,0,,,62500.0,,,
Harvey,48089750400,4,0,0,0,,,74693.0,0.8033368892990488,0.9781456310484744,0.0662735053450317
Harvey,48089750500,6,2,2,0,1.0,0.0,57969.0,0.7890354931447248,0.9969974128376452,0.0411029712649985
Harvey,48157672902,3,0,0,0,,,93651.0,,,
Harvey,48157673004,1,0,0,0,,,121640.0,,,
Harvey,48157673006,214,11,4,7,0.36363636363636365,0.6363636363636364,108750.0,,,
Harvey,48157673007,5,2,2,0,1.0,0.0,108203.0,,,
Harvey,48157673008,229,8,0,7,0.0,0.875,176176.0,,,
Harvey,48157673009,375,6,1,4,0.16666666666666666,0.6666666666666666,133611.0,,,
Harvey,48157673103,2,1,0,1,0.0,1.0,211827.0,,,
Harvey,48157673108,22,2,1,1,0.5,0.5,175766.0,,,
Harvey,48157673112,2,0,0,0,,,161759.0,,,
Harvey,48157673202,5,0,0,0,,,150939.0,,,
Harvey,48157673300,19,2,1,0,0.5,0.0,173810.0,1.1103425360500114,0.9142702515711446,0.1143142456935162
Harvey,48157673401,98,11,3,4,0.2727272727272727,0.36363636363636365,141419.0,,,
Harvey,48157673404,28,7,0,6,0.0,0.8571428571428571,172060.0,,,
Harvey,48157673502,1,0,0,0,,,173281.0,,,
Harvey,48157673600,84,7,0,6,0.0,0.8571428571428571,120911.0,0.9642000199999998,0.88077998,0.0844699959999999
Harvey,48157673801,29,2,2,0,1.0,0.0,112639.0,,,
Harvey,48157674601,86,2,2,0,1.0,0.0,142308.0,1.0163600000000002,0.92203999,0.092759997
Harvey,48157674602,32,1,0,1,0.0,1.0,170216.0,1.006142981209266,0.9224141523753436,0.0902851050934432
Harvey,48157674603,111,0,0,0,,,116875.0,0.8982710827604601,0.9263645812218702,0.0641550475997666
Harvey,48157674604,43,7,6,1,0.8571428571428571,0.14285714285714285,136324.0,0.8506100199999999,0.92811,0.052609999
Harvey,48157674701,3,1,1,0,1.0,0.0,175050.0,,,
Harvey,48157674702,279,15,6,5,0.4,0.3333333333333333,95226.0,,,
Harvey,48157674900,24,1,1,0,1.0,0.0,46793.0,0.85061002,0.92811,0.052609999
Harvey,48157675101,1,0,0,0,,,66702.0,,,
Harvey,48157675401,3,0,0,0,,,90673.0,,,
Harvey,48157675501,18,4,1,0,0.25,0.0,76397.0,,,
Harvey,48157675502,3,0,0,0,,,108013.0,,,
Harvey,48157675503,12,0,0,0,,,112046.0,,,
Harvey,48157675701,3,0,0,0,,,57851.0,,,
Harvey,48157675800,35,3,1,0,0.3333333333333333,0.0,55307.0,0.7787102440400775,0.9104341281383332,0.0542155206341305
Harvey,48167720900,1,0,0,0,,,70690.0,0.7954199900000002,0.93425,0.055349998
Harvey,48167721502,1,0,0,0,,,107321.0,,,
Harvey,48167721503,23,2,1,0,0.5,0.0,111691.0,,,
Harvey,48167721600,9,0,0,0,,,81354.0,0.8027774945263161,0.8538220130526316,0.052828001
Harvey,48167721800,10,2,0,2,0.0,1.0,82954.0,0.7954199900000002,0.93425,0.055349998
Harvey,48167723600,1,0,0,0,,,93389.0,0.8231771601904326,0.9396037860102184,0.0682618416767301
Harvey,48167723800,142,0,0,0,,,109866.0,0.8012122629282578,0.9206671093216208,0.0669068760649096
Harvey,48167723900,14,0,0,0,,,62207.0,0.83042997,0.981809969999999,0.092260003
Harvey,48167725800,26,7,2,5,0.2857142857142857,0.7142857142857143,69028.0,0.7129141390133075,0.9665397525803312,0.076172925074651
Harvey,48167725900,24,7,1,6,0.14285714285714285,0.8571428571428571,59557.0,0.8994563847515807,0.8884459142547425,0.0906656617542908
Harvey,48167726000,13,0,0,0,,,101442.0,0.9257699799999998,0.87743002,0.092710003
Harvey,48167726101,39,0,0,0,,,114083.0,,,
Harvey,48167990100,4,0,0,0,,,,,,
Harvey,48199030200,2,0,0,0,,,91905.0,0.9745635110162244,0.9762541988768054,0.1858411886842575
Harvey,48199030503,4,0,0,0,,,103134.0,,,
Harvey,48199030700,5,0,0,0,,,63642.0,0.8225399900000007,0.9866300199999992,0.13912
Harvey,48199030800,1,0,0,0,,,48426.0,0.822539990000001,0.98663002,0.13912
Harvey,48201210400,13,4,2,0,0.5,0.0,51964.0,0.7185099699999995,0.78973001,0.066869996
Harvey,48201210900,119,12,6,5,0.5,0.4166666666666667,37235.0,0.51010001,0.83320999,0.02131
Harvey,48201211200,25,3,1,2,0.3333333333333333,0.6666666666666666,22887.0,0.5101000099999999,0.8332099899999997,0.0213099999999999
Harvey,48201211700,74,4,2,2,0.5,0.5,29131.0,0.5103455685975296,0.8329684509598555,0.0213670046137416
Harvey,48201212400,51,3,2,1,0.6666666666666666,0.3333333333333333,42163.0,0.5657314459577116,0.8809636062313433,0.0289962429278607
Harvey,48201220900,10,0,0,0,,,25750.0,0.4833700100000001,0.8604900200000001,0.037999999
Harvey,48201221000,174,32,20,7,0.625,0.21875,40101.0,0.4833700100000002,0.86049002,0.0379999989999999
Harvey,48201221100,4,1,0,1,0.0,1.0,50833.0,0.4833700099999999,0.8604900200000001,0.0379999989999999
Harvey,48201221601,118,5,5,0,1.0,0.0,53906.0,,,
Harvey,48201221701,1,0,0,0,,,46090.0,,,
Harvey,48201221702,108,11,5,4,0.45454545454545453,0.36363636363636365,36772.0,,,
Harvey,48201221800,7,1,1,0,1.0,0.0,44971.0,0.4833700099999999,0.8604900200000003,0.037999999
Harvey,48201221900,724,108,44,31,0.4074074074074074,0.28703703703703703,47299.0,0.4833700100000001,0.86049002,0.037999999
Harvey,48201222000,471,39,11,16,0.28205128205128205,0.41025641025641024,38021.0,0.4833700099999999,0.8604900200000002,0.037999999
Harvey,48201222100,708,67,27,24,0.40298507462686567,0.3582089552238806,37852.0,0.48337001,0.8604900199999997,0.037999999
Harvey,48201222300,31,5,4,0,0.8,0.0,40858.0,0.4570467608865249,0.845632085602837,0.0487171975815602
Harvey,48201222401,168,7,2,3,0.2857142857142857,0.42857142857142855,41272.0,0.44132,0.71877003,0.025149999
Harvey,48201222402,3,1,0,1,0.0,1.0,38587.0,0.4423843737301051,0.7182924897866576,0.0235285557008127
Harvey,48201222702,1,0,0,0,,,31720.0,,,
Harvey,48201222800,7,0,0,0,,,36348.0,0.4534724615585509,0.8430029853833193,0.0502706898197135
Harvey,48201222900,174,27,14,7,0.5185185185185185,0.25925925925925924,52786.0,0.4537130337003058,0.8427328218616204,0.0502379615424311
Harvey,48201223100,9,4,1,3,0.25,0.75,71500.0,0.5965200099999998,0.6823599899999999,0.0308099999999999
Harvey,48201230100,13,1,1,0,1.0,0.0,44448.0,0.5101000099999998,0.83320999,0.02131
Harvey,48201230200,37,3,1,0,0.3333333333333333,0.0,33262.0,0.5216865006153542,0.8218131590601504,0.0239997181723387
Harvey,48201230500,39,3,2,1,0.6666666666666666,0.3333333333333333,46003.0,0.4833700100000001,0.86049002,0.0379999989999999
Harvey,48201230600,12,0,0,0,,,41096.0,0.5164899799999998,0.8179299800000001,0.02626
Harvey,48201230700,27,2,2,0,1.0,0.0,32095.0,0.5164899799999999,0.8179299800000002,0.02626
Harvey,48201230800,109,14,6,4,0.42857142857142855,0.2857142857142857,43293.0,0.5235400200000001,0.8199899800000001,0.024429999
Harvey,48201230900,306,39,10,19,0.2564102564102564,0.48717948717948717,27981.0,0.5235400200000001,0.8199899799999998,0.024429999
Harvey,48201231000,1041,121,32,40,0.2644628099173554,0.3305785123966942,39015.0,0.5235400199999999,0.8199899799999998,0.024429999
Harvey,48201231100,749,57,13,13,0.22807017543859648,0.22807017543859648,30783.0,0.5060788120638614,0.8488401399577079,0.0249616704762106
Harvey,48201231200,91,4,2,2,0.5,0.5,36503.0,0.5048199900000001,0.8509200200000002,0.0249999999999999
Harvey,48201231300,383,22,6,8,0.2727272727272727,0.36363636363636365,43983.0,0.5080940149929478,0.8455105348660084,0.0249003101212976
Harvey,48201231400,102,3,1,0,0.3333333333333333,0.0,46363.0,0.5157149239176123,0.8201209956872634,0.02617631778058
Harvey,48201231500,153,8,2,2,0.25,0.25,44942.0,0.5164899799999998,0.8179299800000002,0.02626
Harvey,48201231600,85,9,6,2,0.6666666666666666,0.2222222222222222,39058.0,0.5164899799999998,0.8179299800000001,0.0262599999999999
Harvey,48201231700,69,8,3,2,0.375,0.25,34446.0,0.4833700100000003,0.8604900200000002,0.037999999
Harvey,48201232100,77,7,5,2,0.7142857142857143,0.2857142857142857,44196.0,0.4532260295189961,0.8434755062321365,0.0502727630292785
Harvey,48201232201,10,1,0,1,0.0,1.0,73346.0,,,
Harvey,48201232202,7,0,0,0,,,149274.0,,,
Harvey,48201232304,44,17,8,8,0.47058823529411764,0.47058823529411764,44106.0,,,
Harvey,48201232405,31,2,0,2,0.0,1.0,77797.0,,,
Harvey,48201232500,4,0,0,0,,,41694.0,0.4799317759585326,0.7550118634035087,0.0180463763974481
Harvey,48201232600,215,13,3,3,0.23076923076923078,0.23076923076923078,61957.0,0.4507490301199999,0.74005192976,0.017375480012
Harvey,48201232701,98,7,5,2,0.7142857142857143,0.2857142857142857,37103.0,0.4493399900000001,0.73855001,0.01733
Harvey,48201232703,49,8,2,4,0.25,0.5,46190.0,,,
Harvey,48201232704,31,2,1,1,0.5,0.5,56111.0,,,
Harvey,48201232801,5,0,0,0,,,66466.0,,,
Harvey,48201232802,23,0,0,0,,,50857.0,,,
Harvey,48201233101,1,0,0,0,,,46568.0,0.5522199900000001,0.91220999,0.02086
Harvey,48201233103,39,1,0,1,0.0,1.0,45095.0,0.5522199899999998,0.91220999,0.0208599999999999
