outcome,storm,n,predictor,coef,ci_low,ci_high,p,significance
% Abandoned,Harvey,172,Median income,-0.2730393147987036,-0.33395290427283864,-0.21212572532456853,1.5587796780137923e-18,***
% Abandoned,Harvey,172,Econ. connectedness (resid),-0.13300526216927192,-0.24875611847815965,-0.01725440586038418,0.024314304900846073,**
% Abandoned,Irma,202,Median income,-0.23905657353947485,-0.3137610447617155,-0.16435210231723418,3.5656739546884976e-10,***
% Abandoned,Irma,202,Econ. connectedness (resid),-0.22316671099574065,-0.3257286333892283,-0.12060478860225297,2.0014575095023972e-05,***
% Abandoned,Michael,38,Median income,-0.43310850035913956,-0.6131555050653836,-0.2530614956528955,2.4200475327258113e-06,***
% Abandoned,Michael,38,Econ. connectedness (resid),-0.23790833457765298,-0.5628603325316839,0.08704366337637787,0.15129968167845412,
% Rebuilt,Harvey,172,Median income,0.45403439459853145,0.3962310053908061,0.5118377838062568,1.7645204375420566e-53,***
% Rebuilt,Harvey,172,Econ. connectedness (resid),0.12897263217899102,0.00757372973845033,0.2503715346195317,0.03732050559897762,**
% Rebuilt,Irma,202,Median income,0.3506647952206284,0.2879224303647916,0.41340716007646516,6.345922071166917e-28,***
% Rebuilt,Irma,202,Econ. connectedness (resid),0.2738586498626308,0.16964382426115754,0.3780734754641041,2.5986430438057883e-07,***
% Rebuilt,Michael,38,Median income,0.060226847860465824,-0.09984833958611679,0.22030203530704845,0.4608677059107975,
% Rebuilt,Michael,38,Econ. connectedness (resid),0.30385092460477225,-0.1426028125858444,0.7503046617953889,0.1822276537008768,
